"homograph"	"wordid"	"sentence"	"start"	"end"
"overthrow"	"overthrow_nou"	"These plans, however, were repeatedly postponed and eventually discarded after the overthrow of communism in 1989."	83	92
"overthrow"	"overthrow_vrb"	"Some chiefs supported Kamehameha and war soon broke out to overthrow Kiwalaʻo."	59	68
"overthrow"	"overthrow_vrb"	"Zhu Youzhen would in turn overthrow him next year and take the throne."	26	35
"overthrow"	"overthrow_vrb"	"In reprisal, Migara encouraged and assisted Kasyapa to overthrow the king and take the throne."	55	64
"overthrow"	"overthrow_vrb"	"Shahin Musayev was one of the masterminds of the so-called General's Plot to overthrow the government of President Heydar Aliyev."	77	86
"overthrow"	"overthrow_vrb"	"Al-Za'im also imprisoned many political leaders, such as Munir al-Ajlani, whom he accused of conspiring to overthrow the republic."	107	116
"overthrow"	"overthrow_vrb"	"They hoped to overthrow Khanh before their scheduled removal from command took effect."	14	23
"overthrow"	"overthrow_nou"	"After his overthrow in 1979, it recovered its original name."	10	19
"overthrow"	"overthrow_vrb"	"They regrouped and devised a desperate plan to overthrow Darutos and regain control of the kingdom."	47	56
"overthrow"	"overthrow_vrb"	"Its campaign to overthrow the Algerian government included civilian massacres, sometimes wiping out entire villages in its area of operation."	16	25
"overthrow"	"overthrow_vrb"	"The aim was to capture and overthrow the Royalist strongholds of Leeds city centre."	27	36
"overthrow"	"overthrow_nou"	"Opium production in Afghanistan has thrived since the U.S. invasion and overthrow of the Taliban government in 2001."	72	81
"overthrow"	"overthrow_nou"	"These exclusions affect anarchists, communists, totalitarians, and advocates of assassination, government overthrow by force, destruction of property, and sabotage."	106	115
"overthrow"	"overthrow_nou"	"The overthrow of the patriot party forced him to fly for his safety to France."	4	13
"overthrow"	"overthrow_vrb"	"The front vowed to overthrow Saddam Hussein."	19	28
"overthrow"	"overthrow_vrb"	"Kang then enlisted the aid of the Avengers to overthrow Baltag."	46	55
"overthrow"	"overthrow_vrb"	"In 1908, opponents of Davila made an unsuccessful attempt to overthrow him."	61	70
"overthrow"	"overthrow_vrb"	"It also proposed free elections and the use of force to overthrow the Diaz regime."	56	65
"overthrow"	"overthrow_vrb"	"Deng stated that the goal of the movement was to overthrow the Party and the state."	49	58
"overthrow"	"overthrow_vrb"	"In 510, Spartan troops helped the Athenians overthrow the tyrant Hippias, son of Peisistratos."	44	53
"overthrow"	"overthrow_vrb"	"In order to achieve this, they wished to overthrow the Doctor's homeworld of Gallifrey."	41	50
"overthrow"	"overthrow_vrb"	"Eventually, disgusted by the abusive practices of the Gods, he joins Sam's efforts to overthrow them."	86	95
"overthrow"	"overthrow_vrb"	"At such rallies by as the Offenburg Popular Assembly of September 1847, radical democrats called to overthrow the status quo."	100	109
"overthrow"	"overthrow_nou"	"Shortly after the overthrow of Milosevic, Popovic left Otpor!"	18	27
"overthrow"	"overthrow_vrb"	"He broke his promise, leading an army of several hundred thousand in an attempt to overthrow the government."	83	92
"overthrow"	"overthrow_nou"	"Relations between Austria-Hungary and Serbia deteriorated in the aftermath of the May Overthrow in 1903."	86	95
"overthrow"	"overthrow_vrb"	"In 930 a plot to overthrow the Samanid amir Nasr b. Ahmad and replace him with his brothers failed."	17	26
"overthrow"	"overthrow_vrb"	"They discover that Hera's kidnappers are Gaea's underlings, the Giants, and that she seeks to overthrow the Olympians."	94	103
"overthrow"	"overthrow_vrb"	"The player then goes on to battle and ultimately overthrow the evil Kroll empire and restore freedom to the galaxy."	49	58
"overthrow"	"overthrow_nou"	"He was thus among the leaders of her overthrow by the General Logothete, Nikephoros I, on 31 October 802."	37	46
"overthrow"	"overthrow_vrb"	"Finally, Twig and Maugin return to Sanctaphrax with the required stormphrax, and overthrow the tyrannical Most High Academe, Vilnix Pompolnius."	81	90
"overthrow"	"overthrow_vrb"	"From here Bryennios began plotting to overthrow the emperor."	38	47
