"homograph"	"wordid"	"sentence"	"start"	"end"
"tear"	"tear_nou"	"The siege ended at exactly 1541 GMT after UTK members stormed the building with tear gas and shot the suspect."	80	84
"tear"	"tear_vrb"	"The man, seeing another innocent man, proceeds to tear up his coat."	50	54
"tear"	"tear_nou"	"Riot police used tear gas and batons against the protesters who in turn threw stones at police."	17	21
"tear"	"tear_vrb"	"Once you arrest me, thousands of people will tear you apart."""	45	49
"tear"	"tear_vrb"	"When X-51 arrived, he and Otomo fought, and Otomo managed to tear X-51 apart, but his nanotechnology to rebuilt him."	61	65
"tear"	"tear_vrb"	"If a hook goes in deep enough below the barb, pulling the hook out will tear the flesh."	72	76
"tear"	"tear_vrb"	"The 1990s saw the FLNC organisation tear itself apart through a series of deadly internal feuds."	36	40
"tear"	"tear_vrb"	"Because ribbon seal skins tear easily, they are most suitable for decoration or ceremonial clothing."	26	30
"tear"	"tear_vrb"	"He was picked as one of Tear Sheet magazine's ""50 Most Beautiful Faces"" of October 2001."	24	28
"tear"	"tear_vrb"	"He employed women to tear up sheets of stamps in the evening from this address."	21	25
"tear"	"tear_vrb"	"In 2002 the family signed a deal with contractors to tear the place down and develop the property."	53	57
"tear"	"tear_nou"	"The name Dungibara is made up of two words; Dungi meaning wet, tear etc."	63	67
"tear"	"tear_vrb"	"Using them would also prevent wear and tear on the heads of the VHS itself."	39	43
"tear"	"tear_vrb"	"In the dead-center of the continent lies ""The Chaos,"" which was a tear in the fabric of the prime-material plane."	66	70
"tear"	"tear_nou"	"The priest is shown watching them leave and wiping a tear from his eye."	53	57
"tear"	"tear_vrb"	"The point will tear even if the rest of the knife is comparatively dull."	15	19
"tear"	"tear_nou"	"The Jacka sampled most of the song in 2008 for the single ""Storm"" featuring Cormega for his album ""Tear Gas""."	99	103
"tear"	"tear_vrb"	"Turandot demands that Ping tear the Prince's name from Liu, and he orders her to be tortured."	27	31
"tear"	"tear_vrb"	"Locations for the bone anchors are selected based on number and severity of tear."	76	80
"tear"	"tear_vrb"	"In almost a repeat of Game three, a 12-4 tear by Alaska in the last five minutes iced Swift's downfall."	41	45
"tear"	"tear_vrb"	"Dryden and Lee make their Oedipus tear out his eyes as well, but unlike Sophocles' Oedipus, he commits suicide."	34	38
"tear"	"tear_vrb"	"According to Bell, ""Most studios, as soon as you do the drums they will tear down the drums."	72	76
"tear"	"tear_vrb"	"Bell ended up having a partial tear of his meniscus, on the lateral part of the meniscus in his knee."	31	35
"tear"	"tear_nou"	"French riot police used tear gas and charged at hundreds of England fans, as flares were set off."	24	28
"tear"	"tear_nou"	"There the squadron was equipped with steel helmets and gas masks and training in the tear gas chamber."	85	89
"tear"	"tear_vrb"	"Fearing that this would tear them apart, Carla is pleasantly surprised when Doug proposes."	24	28
"tear"	"tear_nou"	"The use of over-the-counter artificial-tear solutions can reduce the effects of dry eye in CVS."	39	43
"tear"	"tear_nou"	"Mandopop singer Valen Hsu covered the song in her 1996 album Tear Sea, titled ""Fang Sheng Da Ku"" (放聲大哭; ""Wailing"")."	61	65
"tear"	"tear_vrb"	"The end result of the process is a lustrous, tear-resistant yarn which is extremely hardwearing."	45	49
"tear"	"tear_nou"	"The women cried during the procession, and the more tears collected in tear bottles meant the deceased was more important."	71	75
"tear"	"tear_vrb"	"Fixed assets depreciate in value over time, due to wear and tear and market obsolescence."	60	64
"tear"	"tear_vrb"	"Various tear patterns and configurations have been described."	8	12
