"homograph"	"wordid"	"sentence"	"start"	"end"
"discharge"	"discharge_nou"	"In 1969, the restriction on married women was removed, and the automatic discharge of pregnant women was dropped in 1974."	73	82
"discharge"	"discharge_vrb"	"The fen drains could not naturally discharge into Vernatt's Drain."	35	44
"discharge"	"discharge_vrb"	"The stream flows downslope on an easterly course as it makes its way to discharge to the Cowie Water."	72	81
"discharge"	"discharge_vrb"	"She absorbs electricity from her environment which she can discharge as powerful electric blasts or utilize as superhuman speed."	59	68
"discharge"	"discharge_nou"	"Electric discharge describes any flow of electric charge through a gas, liquid or solid."	9	18
"discharge"	"discharge_nou"	"Fisher reached the rank of Staff Sergeant before his discharge on April 8, 1946 as well as a Bronze Star."	53	62
"discharge"	"discharge_nou"	"Despite his discharge Varlamov did not leave the cosmonaut training centre as other unsuccessful candidates had done."	12	21
"discharge"	"discharge_nou"	"The peak annual discharge has a 0.2 percent chance of reaching 8,020 cubic feet (227 m³) per second."	16	25
"discharge"	"discharge_nou"	"After his discharge from the army, he returned home to Kershaw County a hero."	10	19
"discharge"	"discharge_nou"	"Tests selected and desired test results vary with the intended use or discharge location."	70	79
"discharge"	"discharge_nou"	"After his discharge from the Army, McConnell was a gospel vocalist with several evangelists."	10	19
"discharge"	"discharge_nou"	"The river discharge would grow at nearly the same proportions."	10	19
"discharge"	"discharge_nou"	"The G.I. Bill also provided for discharge review boards to review an appeal of any discharge other than dishonorable."	83	92
"discharge"	"discharge_nou"	"By the time of his discharge, he had been promoted to Major."	19	28
"discharge"	"discharge_nou"	"If the stage-discharge relationship does not change with time, it is called permanent control."	13	22
"discharge"	"discharge_nou"	"Instead, the Air Force issued an administrative discharge for ""failure to demonstrate acceptable qualities of leadership""."	48	57
"discharge"	"discharge_nou"	"This model also included high-intensity discharge headlamps and imitation-carbon-fiber interior trim panels that replaced the standard woodgrain trim panels."	40	49
"discharge"	"discharge_nou"	"These may cause a discharge from the ear called otorrhea, and are often investigated by otoscopy and audiometry."	18	27
"discharge"	"discharge_nou"	"Those who were not eligible for discharge were transferred to other battalions for further service."	32	41
"discharge"	"discharge_nou"	"In 1958, after his discharge, he rejoined the Bluegrass Boys, recording ten more songs."	19	28
"discharge"	"discharge_vrb"	"They all flow northwestward and discharge into the Baltic Sea."	32	41
"discharge"	"discharge_nou"	"The suit allege thousand of violations of the city's National Pollutant Discharge Elimination System Permit from their sewage treatment plant."	72	81
"discharge"	"discharge_nou"	"Ozone is made by passing oxygen through ultraviolet light or a ""cold"" electrical discharge."	81	90
"discharge"	"discharge_nou"	"The peak annual discharge has a 0.2 percent chance of reaching 1,692 cubic feet per second (47.9 m³/s)."	16	25
"discharge"	"discharge_nou"	"Upon Pritchard's discharge, they set up residence at 330 Davis Street in what is now part of Allegan's historic district."	17	26
"discharge"	"discharge_nou"	"Post-discharge care of the cardiothoracic surgical patient, in Filsoufi, ed."	5	14
"discharge"	"discharge_nou"	"Several structural components are involved in spore discharge in W. americana, such as the ascus, the operculum, the suboperculum."	52	61
"discharge"	"discharge_nou"	"Murphy briefly found a creative stress outlet in writing poetry after his Army discharge."	79	88
"discharge"	"discharge_nou"	"In 1910 the House established the first known discharge rule since the Civil War."	46	55
"discharge"	"discharge_nou"	"The electrical discharge of M. electricus is not known to be fatal to humans."	15	24
"discharge"	"discharge_nou"	"Figure 1 provides a visual representation of the steps described above to determine the discharge at a lake outlet."	88	97
"discharge"	"discharge_nou"	"Aug. 1972: General discharge from the military."	19	28
"discharge"	"discharge_nou"	"These were by far the simplest of the J series hoppers, with no roof and a very basic discharge system."	86	95
"discharge"	"discharge_nou"	"The electric discharge from this organ is used for navigation, communication, defense and also sometimes for the incapacitation of prey."	13	22
"discharge"	"discharge_nou"	"To justify the need for a large surface capacitance of the cathode foil see the section on charge/discharge stability below."	98	107
"discharge"	"discharge_nou"	"After his honorable discharge, Dolarhyde gets a job with the Gateway Corp."	20	29
"discharge"	"discharge_vrb"	"The eastern platform is a side platform used only to discharge passengers."	53	62
"discharge"	"discharge_nou"	"The overall amount of vaginal discharge decreases in menopause."	30	39
"discharge"	"discharge_vrb"	"Enemy activity lessened after two hours and Pierce was ordered to close the reef to receive casualties and discharge cargo."	107	116
"discharge"	"discharge_nou"	"He remained as supernumerary until November 12, 1883, when he received an honorable discharge from Gov."	84	93
"discharge"	"discharge_nou"	"The average discharge quantity amounts to 3 m³/s at the delta."	12	21
"discharge"	"discharge_nou"	"Officers who did not choose to stand for re-election were also offered a discharge."	73	82
"discharge"	"discharge_nou"	"Upon discharge, he sought the office of Ohio Attorney General but lost."	5	14
"discharge"	"discharge_nou"	"Dryland salinity is broadly the result of three processes: Groundwater recharge, Ground water movement and Groundwater discharge."	119	128
"discharge"	"discharge_nou"	"At Minidoka, Idaho, about halfway through the Snake River Plain, the river's discharge rises to 7,841 cu ft/s (222.0 m³/s)."	77	86
