"homograph"	"wordid"	"sentence"	"start"	"end"
"upset"	"upset_vrb"	"Even the tabloid owner Dada (Rajpal Yadav) is upset with Jai and disapproves his idea of unraveling the truth."	46	51
"upset"	"upset_vrb"	"Brode said that two years later rock and roll would similarly upset the American nation."	62	67
"upset"	"upset_nou"	"Unable to revive him, the girl throws the potion away in her upset."	61	66
"upset"	"upset_vrb"	"In addition to the sex scene, the MPAA were also upset with a puppet being eaten alive by sharks."	49	54
"upset"	"upset_vrb"	"Duncan attempts to kiss Susanna, but she moves away, which makes him become even more upset."	86	91
"upset"	"upset_vrb"	"Durham's leaders were upset and he was rumored to have been disciplined."	22	27
"upset"	"upset_vrb"	"When Lee crossed the river untouched on July 14, Lincoln and Stanton were upset."	74	79
"upset"	"upset_vrb"	"In the playoffs, the Rangers were upset by the Syracuse Crunch in the first round."	34	39
"upset"	"upset_vrb"	"Once everyone is gone she is shown to be physically upset by everything just happened."	52	57
"upset"	"upset_vrb"	"As the fifteenth seed, she was upset in the first round by unseeded Francoise Abanda in two tie breaks."	31	36
"upset"	"upset_vrb"	"Rictor is upset with the news but forgives Rahne when he learns that she just worries about his soul."	10	15
"upset"	"upset_vrb"	"We were quite upset but at that time, it was too late to change it."""	14	19
"upset"	"upset_vrb"	"Becoming guilty when one acts against justice or upset when someone else acts unjustly."	49	54
"upset"	"upset_vrb"	"Mary Moore and her children were extremely close, and Mary and Marianne were especially upset by John's actions."	88	93
"upset"	"upset_vrb"	"He is very upset as he had said he wanted to ask her that even before she was his tutor."	11	16
"upset"	"upset_nou"	"Other resistance welding methods include butt welding, flash welding, projection welding, and upset welding."	94	99
"upset"	"upset_vrb"	"He upset world #4 Errol Zimmerman at the opening stage, taking a decision."	3	8
"upset"	"upset_nou"	"In a surprise upset at the National Championships, Frater was beaten into second place in the 100 m final."	14	19
"upset"	"upset_nou"	"In a startling upset, Mandell lost the crown when he was KOed by Al Singer in the first round."	15	20
"upset"	"upset_vrb"	"Eve is upset and goes to France to sort out her divorce."	7	12
"upset"	"upset_vrb"	"Bad employees aren't upset about this, because they get a free ride from the hard work of the good employees."	21	26
"upset"	"upset_vrb"	"Business acquaintances are upset because Lash might shut down clubs like theirs if elected DA."	27	32
"upset"	"upset_vrb"	"Back at their camp, they see a blonde woman upset over their dead gators."	44	49
"upset"	"upset_vrb"	"The foundations of Genoshan society has been upset in recent years due to the efforts of outside mutant interests."	45	50
"upset"	"upset_nou"	"Middlesbrough 3 Chelsea 0 (Premier League, 11 February 2006) (Report)A huge upset that turned heads all over England."	76	81
"upset"	"upset_vrb"	"Upset and angry, he leaves and goes on his motorcycle, returning home later that night."	0	5
"upset"	"upset_vrb"	"Feinsinger, too, was deeply upset by Wilson's remarks."	28	33
"upset"	"upset_nou"	"It was the biggest surprise upset of the season with LMOB winning the Sevens and grand slam."	28	33
"upset"	"upset_vrb"	"Ogle upset Walsh, winning the fight via unanimous decision."	5	10
"upset"	"upset_nou"	"Teddy Bridgewater paces Louisville to stunning upset of Florida."	47	52
"upset"	"upset_vrb"	"Unless stopped at once it is likely to upset the friendly relations existing between Australia and England."	39	44
"upset"	"upset_vrb"	"Jae-min passes the phone to Soo-jung and In-wook is upset that she stood him up for dinner."	52	57
"upset"	"upset_vrb"	"The Titans were upset by losing in the first round to the (Greensboro Whirlies) 35 to 41."	16	21
"upset"	"upset_vrb"	"However this upset and aroused suspicions among the Americans."	13	18
"upset"	"upset_nou"	"In 2002, the 24-year-old Reed challenged Representative Sara Steelman for the 62nd legislative district, winning an upset."	116	121
"upset"	"upset_vrb"	"Under her guidance, he is able to upset Paulie Mitchell in his next fight, pleasing Papa and Julie both."	34	39
"upset"	"upset_vrb"	"Finkel was said to be very upset by this state of affairs."	27	32
