"homograph"	"wordid"	"sentence"	"start"	"end"
"fragment"	"fragment_nou"	"At the court, the Doctor tries to tell Federico that the energy fragment could spell the end of the world."	64	72
"fragment"	"fragment_nou"	"It is the largest surviving fragment of the habitat of the old Finchley Common."	28	36
"fragment"	"fragment_nou"	"The island, like the Falkland Islands, is a fragment of some greater land-mass now vanished."	44	52
"fragment"	"fragment_nou"	"Even in the same bioptic fragment, different degrees of damage may be present."	25	33
"fragment"	"fragment_nou"	"This fragment cannot be clearly attributed to a specific wall of the mastaba either."	5	13
"fragment"	"fragment_nou"	"Thus, he restricted the remains to be considered Technosaurus to the second lower jaw piece, a posterior fragment."	105	113
"fragment"	"fragment_nou"	"The title came from a fragment Bryan Adams and Jim Vallance wrote in late 1980s."	22	30
"fragment"	"fragment_nou"	"For example, it has been reported that Taurine significantly increases the yield of in vitro refolding for Fab fragment antibodies."	111	119
"fragment"	"fragment_nou"	"RI-1077 is the only site at which a marine shell fragment was found."	49	57
"fragment"	"fragment_nou"	"Cognos is a fragment scissored off the Latin word ""cognosco,"" which means ""knowledge from personal experience""."	12	20
"fragment"	"fragment_nou"	"The measurements of the fragment are 220 by 243 mm."	24	32
"fragment"	"fragment_nou"	"The tests were performed on two femur fragments, HohleFels10 and HohleFels49, and a cranial fragment, HohleFels79."	92	100
"fragment"	"fragment_nou"	"New Caledonia was an ancient fragment of the supercontinent Gondwana."	29	37
"fragment"	"fragment_nou"	"Its Fab fragment was crystallized in complex with the ED3 domains of DENV1, DENV3 and DENV4."	8	16
"fragment"	"fragment_nou"	"The measurements of the fragment are 232 by 183 mm."	24	32
"fragment"	"fragment_nou"	"Most of the Chatham Island economy is based on fishing and crayfishing, with only a fragment of in adventure tourism."	84	92
"fragment"	"fragment_nou"	"Note that side chains are typically not modeled using the fragment library approach."	58	66
"fragment"	"fragment_nou"	"Unfortunately, only a fragment of one of these has survived, within the farmyard at Camusterrach, south of Applecross village."	22	30
"fragment"	"fragment_nou"	"In the 2099 universe, Spider-Man confronts Vulture who uses a fragment so his wings could shoot bullets."	62	70
"fragment"	"fragment_nou"	"In one fragment someone encourages Waldere to go on fighting."	7	15
"fragment"	"fragment_nou"	"It also acknowledged, but did not standardize, the existence of relative URLs and fragment identifiers."	82	90
"fragment"	"fragment_nou"	"Only a fragment of its population survive, and those that survive live in the most primitive conditions."	7	15
"fragment"	"fragment_nou"	"This slightly improves the fragment velocity, and protects the steel fragments from the corrosive explosive."	27	35
"fragment"	"fragment_nou"	"In addition there is a skull fragment from the Troublesome Formation of Colorado."	29	37
"fragment"	"fragment_nou"	"The measurements of the fragment are 177 by 163 mm."	24	32
"fragment"	"fragment_nou"	"In his earlier works, such as Seated/Unseated Woman and Light Figure Fragment, Kraft rendered sculptures incorporating details in neon."	69	77
"fragment"	"fragment_nou"	"B₁₀₅ can be conceptually divided into a B₄₈ fragment and B₂₈-B-B₂₈ (B₅₇) fragment."	54	62
"fragment"	"fragment_nou"	"The original transcription and translation of the fragment of text was not done until 1934, by Colin H. Roberts."	50	58
"fragment"	"fragment_nou"	"The key contains a yellowing fragment of parchment with a name written upon it: Deliverance (Hazeltine) Dane."	29	37
"fragment"	"fragment_nou"	"This fragment punctured a tyre on Concorde's left main wheel bogie during take-off."	5	13
"fragment"	"fragment_nou"	"At the end of this stage, each node has received the new fragment ID and level."	57	65
"fragment"	"fragment_nou"	"Degradation level, more than fragment size, seems to affect density and birth rates of the populations of this species."	29	37
"fragment"	"fragment_nou"	"This fragment is often found for aromatic compounds containing a benzyl unit."	5	13
"fragment"	"fragment_nou"	"In those instances an interventional radiologist can usually retrieve the fragment and place a new port."	74	82
"fragment"	"fragment_nou"	"For visualization purposes, the nucleic acid fragment is usually labelled with a radioactive, fluorescent or biotin label."	45	53
"fragment"	"fragment_nou"	"Each time Alex recovers a stone fragment leads to the rebirth and invention of various things in his world."	32	40
"fragment"	"fragment_nou"	"In addition, a fragment of a speech is preserved by Minucius Felix (Octavius 9."	15	23
