"homograph"	"wordid"	"sentence"	"start"	"end"
"permit"	"permit_nou"	"Todd is currently Chairman of the Tower Permit Commission for southeast Texas."	40	46
"permit"	"permit_vrb"	"Accessories for more typical multimeters permit some of these measurements, as well."	41	47
"permit"	"permit_nou"	"The chimaera birdwing is listed on CITES Appendix II, restricting international trade to those who have been granted a permit."	119	125
"permit"	"permit_vrb"	"Most U.S. States with low population densities commonly permit bicycle use on interstate freeways outside urban areas."	56	62
"permit"	"permit_vrb"	"The SEQRP 2009 does not permit urban development outside of the Urban Footprint."	24	30
"permit"	"permit_nou"	"Four-wheel drive vehicles on Fraser Island need to obtain a vehicle permit."	68	74
"permit"	"permit_vrb"	"In the United States, certain shelters do not permit access to men."	46	52
"permit"	"permit_nou"	"In February 1999 he signed for Wycombe Wanderers after initially being refused a work permit."	86	92
"permit"	"permit_vrb"	"For example, these methods permit preventing ""R"" rated content from being played."	27	33
"permit"	"permit_vrb"	"She refuses to tell them directly, but does permit them to attempt to discover the answer for themselves."	44	50
"permit"	"permit_nou"	"Divers must first obtain a permit from the Island Harbour Authorities, which is available through diving shops and centres."	27	33
"permit"	"permit_nou"	"Beck retained the construction permit, and partnered with Ernest Moody and Claude Hill to bring KCEB back on the air."	31	37
"permit"	"permit_nou"	"The suit allege thousand of violations of the city's National Pollutant Discharge Elimination System Permit from their sewage treatment plant."	101	107
"permit"	"permit_nou"	"While the trial was formally public, admission to it was by permit issued by district committees of the Communist Party."	60	66
"permit"	"permit_vrb"	"Corax devised an art of rhetoric to permit ordinary men to make their cases in the courts."	36	42
"permit"	"permit_vrb"	"The King was persuaded to permit d'Arlandes and de Rozier to become the first pilots."	26	32
"permit"	"permit_nou"	"The Federal Communications Commission issued a construction permit for the station on June 18, 2003."	60	66
"permit"	"permit_vrb"	"He promises to marry Vyry and buy her freedom, but Marse John won't permit it."	68	74
"permit"	"permit_nou"	"Coral collection is not allowed in the state waters of Hawaii without a research permit."	81	87
"permit"	"permit_vrb"	"Adequate safety stock levels permit business operations to proceed according to their plans."	29	35
"permit"	"permit_nou"	"One person has been issued a permit to discharge stormwater into an unnamed tributary of the stream during construction operations."	29	35
"permit"	"permit_nou"	"The permit was eventually granted on 3 July 2007 and the deal was completed."	4	10
"permit"	"permit_nou"	"He voted against reducing the application fee for obtaining a concealed carry permit."	78	84
"permit"	"permit_vrb"	"To permit its use for high-horsepower locomotives, the motor was split in two."	3	9
"permit"	"permit_vrb"	"This Large District Allowance will permit large rural districts to have many fewer voters than the average district enrolment."	35	41
"permit"	"permit_vrb"	"The corners of the mine have small posts to permit stacking of the mine."	44	50
"permit"	"permit_nou"	"Seasonal small game and deer hunting is allowed with the proper permit."	64	70
"permit"	"permit_nou"	"In May 2016, the Israeli government revoked Barghouti's travel permit, limiting his ability to freely travel abroad."	63	69
"permit"	"permit_vrb"	"As he was unwilling to""permit the multitude to die of hunger."	23	29
"permit"	"permit_nou"	"There is a trail in the park, but using it requires a permit."	54	60
"permit"	"permit_vrb"	"These wires guide light in the form of an evanescent wave, permit very sharp bending of the light."	59	65
"permit"	"permit_nou"	"Colleen had to acquire a special permit to drive."	33	39
"permit"	"permit_vrb"	"Such stand-alone power systems permit operations at night and at other times of limited sunlight."	31	37
"permit"	"permit_vrb"	"In 1923, voters approved a constitutional amendment to permit the use of bonds to finance irrigation projects."	55	61
"permit"	"permit_nou"	"The pass is non-transferable and generally does NOT cover or reduce special recreation permit fees or fees charged by concessionaires."	87	93
"permit"	"permit_vrb"	"The new optics permit the Navigation Doppler Lidar to accurately measure the vehicle's velocity relative to the ground."	15	21
"permit"	"permit_nou"	"Default permit - ""Everything, not explicitly forbidden, is permitted""Allows greater functionality by sacrificing security."	8	14
"permit"	"permit_nou"	"Members of the public will no longer need to obtain a permit to enter the excluded areas."	54	60
"permit"	"permit_nou"	"With a special permit it is sometimes possible to sand-ski at the world's highest dunes in Sossusvlei."	15	21
"permit"	"permit_nou"	"This permit can be obtained at Leh."	5	11
"permit"	"permit_vrb"	"McCullough would have been killed many years before but Bruno refused to permit the murder."	73	79
"permit"	"permit_nou"	"This station received its original construction permit from the Federal Communications Commission on August 10, 2000."	48	54
"permit"	"permit_nou"	"WETD received a construction permit from the Federal Communications Commission (FCC) to increase power from 350 watts to 3.5 kilowatts."	29	35
"permit"	"permit_vrb"	"The order's statutes were specially amended to permit the admission of Queen Mary as a Knight Grand Commander in 1911."	47	53
"permit"	"permit_vrb"	"As studied in detail by Gualtieri the generalized complex structures permit the study of geometry analogous to complex geometry."	69	75
"permit"	"permit_nou"	"The construction permit was granted on March 19, 2001."	17	23
"permit"	"permit_vrb"	"Major works on the main street were required to permit this, including new pedestrian paths, parking areas and lighting."	48	54
"permit"	"permit_nou"	"Problems with obtaining a work permit saw this fall through and he returned to Stoke."	31	37
"permit"	"permit_vrb"	"Many jurisdictions have enacted statutes that permit a pretermitted child to demand an inheritance under the will."	46	52
"permit"	"permit_vrb"	"Many jurisdictions that generally disallow hearsay evidence in courts permit the more widespread use of hearsay in non-judicial hearings."	70	76
"permit"	"permit_vrb"	"In many cases the medium in which the wave propagates does not permit a direct observation of the true form."	63	69
"permit"	"permit_vrb"	"Hughes and Briggs were both in for a shock as ""Crasher"" was adamant that he would not permit the flight."	86	92
"permit"	"permit_nou"	"USACE personnel evaluate permit applications for essentially all construction activities that occur in the nation's waters, including wetlands."	25	31
"permit"	"permit_nou"	"Normally, CAFO operators are subject to the terms of their permit for a period of 5 years."	59	65
"permit"	"permit_nou"	"Utah requires a permit to carry a concealed firearm."	16	22
"permit"	"permit_nou"	"105.9 FM was initially a construction permit with the call letters WVSL in 1991."	38	44
"permit"	"permit_vrb"	"The Tequila Regulatory Council of Mexico originally did not permit flavored tequila to carry the tequila name."	60	66
"permit"	"permit_nou"	"He had to wait an entire year to get an official shooting permit."	58	64
"permit"	"permit_vrb"	"Likewise parishes which are too small should be united insofar as the situation demands it and circumstances permit."	109	115
"permit"	"permit_nou"	"Permits for ports should include: clean air permit, construction permit, discharge permit, dredge permits and water discharge permit."	65	71
"permit"	"permit_vrb"	"The KC-135s were redeployed to permit increased B-52 operations at U-Tapao and F-111 deployment at Takhli."	31	37
"permit"	"permit_vrb"	"Because of this, many competition production companies permit photography at their competitions."	55	61
"permit"	"permit_nou"	"In the U.S., a construction permit is valid for three years."	28	34
"permit"	"permit_vrb"	"The important finding is that there are a number of reactions with rates greater than these minimum barriers would permit."	115	121
"permit"	"permit_vrb"	"Sheriff Wetzel said that the law ""doesn't permit you to execute somebody once a threat is gone."""	42	48
"permit"	"permit_nou"	"It may be the only man-made structure in the United States where BASE jumping is allowed year-round without a permit."	110	116
"permit"	"permit_nou"	"Several other groups applied for the allocation and a long fight for a construction permit ensued with the FCC."	84	90
"permit"	"permit_vrb"	"The Systems Architect's work must avoid implementation issues and readily permit unanticipated extensions/modifications in future stages."	74	80
"permit"	"permit_nou"	"The official names for learners also vary, for example ""Learner Driver Licences"" or ""Learner's Permit""."	95	101
"permit"	"permit_nou"	"Bixler then applied for a license on channel 40, and was granted a construction permit for that channel in 1976."	80	86
"permit"	"permit_nou"	"The station made its debut in June 1996, however the station maintained its construction permit status."	89	95
"permit"	"permit_nou"	"Subsequently EPA issued an initial Vessel General Permit (VGP) with an effective date of February 6, 2009."	50	56
"permit"	"permit_nou"	"Meanwhile, a construction permit was issued in 1983 for a new station on 830 AM to Doylan Forney."	26	32
"permit"	"permit_vrb"	"The use of low-fire clay and glazes permit the construction of large objects and brighter colours."	36	42
"permit"	"permit_vrb"	"The production schedule would not permit any more breaks and the director was obliged to continue shooting."	34	40
"permit"	"permit_vrb"	"Actor libraries or frameworks have also been implemented to permit actor-style programming in languages that don't have actors built-in."	60	66
"permit"	"permit_vrb"	"This type of interchange does not usually permit U-turns."	42	48
"permit"	"permit_vrb"	"The tunnel closed again from 23 December 2007 to permit tracklaying and resignalling for the East London Line extension."	49	55
"permit"	"permit_nou"	"Tijerina obtained a permit from the Arizona Department of Education to construct a school and to educate their children."	20	26
"permit"	"permit_vrb"	"Britain ""would be agreeable to permit"" the participation of Argentine meat packers of up to 15%."	31	37
"permit"	"permit_nou"	"After this action, authority to issue construction permits for the road transferred to the CoE in a new permit process."	104	110
"permit"	"permit_nou"	"Furthermore, not all Chinese nationals in Hong Kong or Macau have a Home Return Permit."	80	86
"permit"	"permit_nou"	"Interested parties must file an application for construction permit during the appropriate AM application filing window""."	61	67
"permit"	"permit_nou"	"The start of the harvest is determined by the publication of a harvesting permit, usually issued from late August."	74	80
"permit"	"permit_vrb"	"However, the government would only permit them to leave the country if they had secured visas for overseas destinations."	35	41
"permit"	"permit_nou"	"Night and predator hunting is only permitted by daily permit cards from the property manager."	54	60
"permit"	"permit_nou"	"Furthermore, more than 40 lawsuits were filed against the government in regards to the problem of permit allocation."	98	104
"permit"	"permit_nou"	"Sgro denied she had done anything wrong, and argued that she granted the permit on compassionate grounds."	73	79
"permit"	"permit_nou"	"The LDS Church requested a special exception permit, which specified how the temple would be used."	45	51
