"homograph"	"wordid"	"sentence"	"start"	"end"
"advocate"	"advocate_nou"	"John W. Dickinson, a four-year faculty member and strong advocate for educational reform, was principal from 1856 to 1877."	57	65
"advocate"	"advocate_nou"	"Elliott Blackstone, sergeant of the San Francisco Police Department and longtime advocate for LGBT rights, was born here."	81	89
"advocate"	"advocate_nou"	"He was a teetotaling vegetarian, an early advocate of nature cures, and a longtime member of the National Anti-Vaccination League."	42	50
"advocate"	"advocate_nou"	"After leaving HADITU, ash-Shafi became an active advocate for greater unity in the Egyptian communist movement."	49	57
"advocate"	"advocate_nou"	"He was an advocate within the School of Music for wind music."	10	18
"advocate"	"advocate_nou"	"He was also an advocate of vegetarianism and abstinence."	15	23
"advocate"	"advocate_nou"	"Greek pianist Danae Kara is a superb advocate in these first-recorded performances."	37	45
"advocate"	"advocate_nou"	"Cooley even went as far as to portray Ross as a traitor, when Ross had always been a Union advocate."	91	99
"advocate"	"advocate_nou"	"Transgender advocate Norrie May-Welby was recognized as having unspecified status in 2014."	12	20
"advocate"	"advocate_nou"	"Barrister Zahid enrolled as an advocate of the Sindh High Court in 1957, and of the Supreme Court in 1962."	31	39
"advocate"	"advocate_nou"	"He appended ""Workingmen's Advocate"" to the title, indicating his sympathy for the Working Men's Party and the interests of laborers."	26	34
"advocate"	"advocate_nou"	"He is a vegetarian and an advocate of animal rights."	26	34
"advocate"	"advocate_nou"	"Originally built in 1930, Gregory Gymnasium was named after its main advocate and planner, Thomas Watt Gregory."	69	77
"advocate"	"advocate_nou"	"She has been a staunch advocate of the anti-discrimination bill."	23	31
"advocate"	"advocate_nou"	"Through 1895 and early 1896, Bryan sought to make himself as widely known as an advocate for silver as possible."	80	88
"advocate"	"advocate_nou"	"Shashank's younger brother Sunil Manohar has also served as the Advocate General of Maharashtra."	64	72
"advocate"	"advocate_nou"	"Antiguans have seen Mr. Clapton transform from addict to advocate of possibly the next Betty Ford of the century."	57	65
"advocate"	"advocate_nou"	"The Erin Advocate also publishes the monthly Country Routes paper distributed to surrounding areas."	9	17
"advocate"	"advocate_vrb"	"Certain right-wing localist groups also advocate for a more aggressive and militant approach in defending Hong Kong people's interests."	40	48
"advocate"	"advocate_nou"	"Throughout his legislative career, Steinberg has been a strong advocate for mental health care."	63	71
"advocate"	"advocate_vrb"	"The different movements within hirak were largely fragmented, and therefore struggled to successfully advocate for their reformist agenda."	102	110
"advocate"	"advocate_vrb"	"Calderhead was willing to travel extensively to advocate for suffrage."	48	56
"advocate"	"advocate_nou"	"Kilmer is a supporter of Native American affairs and an advocate of environmental protection."	56	64
"advocate"	"advocate_nou"	"Prasad was a senior advocate at Patna High Court."	20	28
"advocate"	"advocate_nou"	"An advocate of practical learning for managers, Brown created the Glacier Institute of Management."	3	11
"advocate"	"advocate_nou"	"In the years since his diagnosis was made public, Louganis has been an outspoken HIV awareness advocate."	95	103
"advocate"	"advocate_nou"	"During World War I, Knox was an advocate of preparedness and United States participation."	32	40
"advocate"	"advocate_nou"	"He was Advocate General of Uttar Pradesh, India from 1952 to 1969."	7	15
"advocate"	"advocate_nou"	"Susan Eisenhower, former president and chairman emeritus of the Eisenhower Institute, was a particular advocate of the concept."	103	111
"advocate"	"advocate_nou"	"Hedgeman was a major advocate for both minorities and the poor in New York City."	21	29
