"homograph"	"wordid"	"sentence"	"start"	"end"
"graduate"	"graduate_adj-nou"	"He enrolled in the English graduate program at Duke University, but never completed his Master's degree."	27	35
"graduate"	"graduate_adj-nou"	"North is a 2003 graduate of Indiana University and currently resides in Manhattan Beach, California."	16	24
"graduate"	"graduate_adj-nou"	"The university, with its 1903 teaching staff, offers courses to over 40,000 undergraduate, post graduate and doctorate students."	96	104
"graduate"	"graduate_adj-nou"	"She is a graduate of the London School of Journalism."	9	17
"graduate"	"graduate_adj-nou"	"She is a graduate of the University of Southern California."	9	17
"graduate"	"graduate_adj-nou"	"Doug McIntyre is a graduate of Stonehill College."	19	27
"graduate"	"graduate_adj-nou"	"The spokesperson (later spokespeople) were also selected by collaboration-wide vote, including graduate students."	95	103
"graduate"	"graduate_adj-nou"	"He is a post graduate in LL.M., and M.C.J (Journalism) from Osmania University."	13	21
"graduate"	"graduate_adj-nou"	"Molloy's student body numbers around 4,900 undergraduate, graduate and doctoral students."	58	66
"graduate"	"graduate_adj-nou"	"The Officers Training Academy on the other hand provides a 49-week course to Graduate officer candidates."	77	85
"graduate"	"graduate_adj-nou"	"He is a graduate of St.Joseph's College in Nainital."	8	16
"graduate"	"graduate_adj-nou"	"Graduate programs require 12 and 14 as passing grades for Master's and Ph.D. level programs, respectively."	0	8
"graduate"	"graduate_adj-nou"	"Templeton was a graduate of the University of Ulster at Jordanstown (B.A.), Queen's University of Belfast, (M.Th."	16	24
"graduate"	"graduate_adj-nou"	"In 1979, the School of Professional Psychology was established at Ferkauf Graduate School."	74	82
"graduate"	"graduate_vrb"	"At the time, he was just the second graduate of Central High School to graduate from a service academy."	71	79
"graduate"	"graduate_adj-nou"	"He was a graduate of Paris University Medical School."	9	17
"graduate"	"graduate_adj-nou"	"It has about 1,100 students enrolled in its undergraduate and graduate programs."	62	70
"graduate"	"graduate_adj-nou"	"Norton is a graduate of the Universities of Miami and Chicago."	12	20
"graduate"	"graduate_adj-nou"	"As President of the Economic Society, he joined in 1903 for the establishment of a Graduate School of Berlin."	83	91
"graduate"	"graduate_adj-nou"	"Within 10 years, 83% of Pomona graduates attend graduate and/or professional school."	48	56
"graduate"	"graduate_adj-nou"	"In 1961, he graduated from Stanford Graduate School of Business with an MBA."	36	44
"graduate"	"graduate_adj-nou"	"Assistantships provide much needed experience for graduate students, increasing their future employment options."	50	58
"graduate"	"graduate_adj-nou"	"King's room was photographed by production staff after a visit by Blatty, a Georgetown graduate, and Friedkin."	87	95
"graduate"	"graduate_adj-nou"	"Besides this, he pursued graduate courses in law and mathematics in Bucharest."	25	33
"graduate"	"graduate_adj-nou"	"His father was a member of a well-known family in County Limerick, and was a graduate of Trinity College, Dublin."	77	85
"graduate"	"graduate_adj-nou"	"Chapin stayed on at the Met for four years, subsequently becoming Dean of Columbia University's Graduate School of the Arts."	96	104
"graduate"	"graduate_adj-nou"	"Professor (John) Michael Clarke is a graduate of St Chad's College, Durham University."	37	45
"graduate"	"graduate_adj-nou"	"She is a graduate of New Trier High School and the University of Kansas."	9	17
"graduate"	"graduate_adj-nou"	"He received his Ph.D. degree in Political Science from the University of Santo Tomas Graduate School in Manila."	85	93
"graduate"	"graduate_vrb"	"Some policy study experts graduate from public policy schools with public policy degrees."	26	34
"graduate"	"graduate_adj-nou"	"Ellis, born in Spartanburg, South Carolina, is a 1969 graduate of the U.S. Naval Academy."	54	62
"graduate"	"graduate_adj-nou"	"She did graduate work at Indiana University, where she earned her Ph.D. in English in 1969."	8	16
"graduate"	"graduate_adj-nou"	"Grandhi Venkata Reddy Naidu received his graduate B.A., and law L.L.B., degrees from University of Madras."	41	49
"graduate"	"graduate_adj-nou"	"Jason is also a graduate of the National Outdoor Leadership School."	16	24
"graduate"	"graduate_adj-nou"	"Former Louisiana Secretary of State Al Ater was a graduate of the founding class."	50	58
"graduate"	"graduate_adj-nou"	"Vaidas Sakalauskas is a graduate of the Faculty of History of the Vilnius Pedagogical University in 1994."	24	32
"graduate"	"graduate_adj-nou"	"The graduate health course attracted considerable media attention, despite enrolling only three students."	4	12
"graduate"	"graduate_adj-nou"	"Here, Evans was tasked with improving the department, including the initiation of a graduate program."	84	92
"graduate"	"graduate_adj-nou"	"He graduated in 1984 and went on to graduate school at Berkeley, receiving his Ph.D. in 1989."	36	44
"graduate"	"graduate_adj-nou"	"The graduate-entry school is located at the Royal Derby Hospital."	4	12
"graduate"	"graduate_adj-nou"	"Upon graduation he was named graduate of the decade and ranked among the top 40 graduates in 40 years."	29	37
"graduate"	"graduate_adj-nou"	"O'Meara is a graduate of American University."	13	21
"graduate"	"graduate_adj-nou"	"Praveena is an English literature graduate from the University of Madras."	34	42
"graduate"	"graduate_adj-nou"	"His sister is a graduate of Boston College."	16	24
"graduate"	"graduate_adj-nou"	"He is a graduate of the United States Military Academy."	8	16
"graduate"	"graduate_adj-nou"	"She then completed her graduate studies at the New York University Institute of Fine Arts in 1970."	23	31
"graduate"	"graduate_adj-nou"	"In 1988, he went to Penn State, where he would work for the next 23 years, as a graduate assistant."	80	88
"graduate"	"graduate_adj-nou"	"Graphmatica is a graphing program created by Keith Hertzer, a graduate of the University of California, Berkeley."	62	70
