"homograph"	"wordid"	"sentence"	"start"	"end"
"lead"	"lead_nou-vrb"	"Duggal then appeared in a lead role for Rajeev Chaudhari's romantic film Beiimaan Love alongside Sunny Leone."	26	30
"lead"	"lead_nou-vrb"	"Detroit scored five runs in the ninth inning to take a 7 to 5 lead over Chicago."	62	66
"lead"	"lead_nou-vrb"	"Lewis had been in the lead in four of the seven stages of this Alternative Vote election."	22	26
"lead"	"lead_nou-vrb"	"It was written by their saxophonist Lee Thompson and their co-lead vocalist Carl Smyth."	62	66
"lead"	"lead_nou-vrb"	"The music video was directed by Ryan Khan with Taromi Lourdes Joseph as the lead female actress (Alice)."	76	80
"lead"	"lead_nou"	"In 2014, annual global production of lead was about ten million tonnes, over half of which was from recycling."	37	41
"lead"	"lead_nou-vrb"	"In 1967 Ramadas was officially elected to lead Kerala Assembly from Attingal in Thiruvananthapuram district."	42	46
"lead"	"lead_nou-vrb"	"Of note, she would lead the Tigers in scoring during her senior season."	19	23
"lead"	"lead_nou-vrb"	"Earlier harvesting of the grasses during the breeding season lead to more female deaths."	61	65
"lead"	"lead_nou-vrb"	"Sahil is a 1959 Bollywood film starring Shammi Kapoor and Chitra in lead roles."	68	72
"lead"	"lead_nou"	"Lead is a neurotoxin that accumulates in soft tissues and bones, damages the nervous system, and causes blood disorders."	0	4
"lead"	"lead_nou"	"The report further argues that the doctrine was fully implemented during Operation Cast Lead."	88	92
"lead"	"lead_nou-vrb"	"Middlesbrough finish the month as outright leaders of Division One with a two-point lead over Wolverhampton Wanderers."	84	88
"lead"	"lead_nou-vrb"	"The Yankees extended their lead to 3½ games."	27	31
"lead"	"lead_nou-vrb"	"The race would be the first time that Kanaan failed to lead the Indianapolis 500."	55	59
"lead"	"lead_nou-vrb"	"In the fourth quarter, the Titans increased their lead with RB LenDale White getting a 7-yard TD run."	50	54
"lead"	"lead_nou-vrb"	"As the lead singer/lead guitarist with Bay Area rockers Y&T, Meniketti has sold over 4 million records worldwide."	7	11
"lead"	"lead_nou-vrb"	"And then the flyest lead singer the world has ever seen comes on and starts singing some shit."""	20	24
"lead"	"lead_nou"	"Modern pewters are available that are completely free of lead"	57	61
"lead"	"lead_nou-vrb"	"The contestant in the lead after this round advanced to the Grand Savant Round."	22	26
"lead"	"lead_nou"	"Like the lighter members of the group, lead tends to bond with itself"	39	43
"lead"	"lead_nou-vrb"	"Modern organized sports developed in the 19th century, with the United Kingdom and the United States taking the lead."	112	116
"lead"	"lead_nou-vrb"	"Artificial Heart is also the first Coulton album to feature guest lead vocals and a duet."	66	70
"lead"	"lead_nou-vrb"	"Manterola was nominated for a TVyNovelas Award for Best Lead Actress for her work on Apuesta por un Amor."	56	60
"lead"	"lead_nou-vrb"	"The album's lead single was the self-produced track ""Push"", with ""Let's Go"" as its B-Side."	12	16
"lead"	"lead_nou-vrb"	"They lead to a reinforcing pattern, in which industries 'tip' towards one or another product design."	5	9
"lead"	"lead_nou-vrb"	"March's home was searched, leading to the discovery of documents and sufficient evidence to lead to an arrest and charges."	92	96
"lead"	"lead_nou-vrb"	"The Redskins led 24-0 early in the third quarter, but Buffalo cut the lead to 24-10."	70	74
"lead"	"lead_nou-vrb"	"In 1980, he resigned from the ACB, to lead a more secluded life."	38	42
"lead"	"lead_nou-vrb"	"The win put him back into the point lead."	36	40
"lead"	"lead_nou-vrb"	"Dale Earnhardt, who was running third, slipped by, and took over the lead."	69	73
"lead"	"lead_nou"	"Pewters containing lead are no longer used in items (such as cups, plates, or jewelry) that will come in contact with the human body due to health concerns stemming from the lead content."	19	23
"lead"	"lead_nou"	"Other inactive mines include a copper mine on the northwestern slope of Hog's Back and a lead mine in Leadville."	89	93
"lead"	"lead_nou-vrb"	"Johnson played the lead role in a new Flash Gordon TV series that debuted on Sci Fi in August 2007."	19	23
"lead"	"lead_nou-vrb"	"West played guitar, bass and provided lead vocals, Holmes played keyboards and bass, and Coulter played the drums."	38	42
"lead"	"lead_nou-vrb"	"The Office of the Assistant Secretary of Defense, Heath Affairs is the designated lead component for this sector."	82	86
"lead"	"lead_nou-vrb"	"Been to the Future is the solo album by Joey Eppard, the lead vocalist and guitarist for the band 3."	57	61
"lead"	"lead_nou-vrb"	"The film stars Kalyan Kumar, Jayanthi, K. S. Ashwath and Narasimharaju in lead roles."	74	78
"lead"	"lead_nou"	"The first part ""Tarnowskie"" comes from the name of village ""Tarnowice"" where deposits of lead enriched by silver were found."	89	93
"lead"	"lead_nou-vrb"	"Chris Norman, founder member and former lead singer of Smokie was born in Redcar."	40	44
"lead"	"lead_nou-vrb"	"It is the lead single from his album Celebrate!"	10	14
"lead"	"lead_nou-vrb"	"Sean O'Connor nearly doubled the lead from a free-kick but it was tipped over the bar by Peter Cherrie."	33	37
"lead"	"lead_nou-vrb"	"He was promoted again on 1 February 1940, to lead I./Jagdgeschwader 1 as Gruppenkommandeur."	45	49
"lead"	"lead_nou"	"Lead is easily extracted from its ores"	0	4
"lead"	"lead_nou-vrb"	"Lead vocalist, McGee rejoined Sorcery in 1984 and stayed with them for the remainder of their duration through 1987."	0	4
"lead"	"lead_nou-vrb"	"Anquetil won almost three minutes on Gaul and extended his lead to more than ten minutes."	59	63
"lead"	"lead_nou-vrb"	"The escalating attacks lead Amazon leaders Phillipus and Artemis to question Hippolyta's motives."	23	27
"lead"	"lead_nou"	"The use of Siberian red lead as a paint pigment then developed rapidly."	24	28
"lead"	"lead_nou-vrb"	"Wilson got the jump on the restart, and pulled out to over a 4-second lead to preserve the win."	70	74
"lead"	"lead_nou"	"Lead is a chemical element with symbol Pb (from the Latin plumbum) and atomic number 82."	0	4
"lead"	"lead_nou-vrb"	"In 2001, he made his debut as a lead actor in a feature film in Peter Cattaneo's Lucky Break."	32	36
"lead"	"lead_nou-vrb"	"The race had 18 lead changes among eight different drivers, as well as seven caution flag periods for 30 laps."	16	20
"lead"	"lead_nou-vrb"	"Finally, the rat is trained to wear a harness and practises outdoors on a lead, finding inactive mines under soil."	74	78
"lead"	"lead_nou-vrb"	"If this happened at low altitude, it would often lead to the total loss of the aircraft."	49	53
"lead"	"lead_nou-vrb"	"In 2004, he endorsed Frank Klees's bid to lead the Ontario Progressive Conservatives."	42	46
"lead"	"lead_nou-vrb"	"The film stars Vijayakashi, Vaishali Kasaravalli, Padmashree and Chandrakumar Jain in lead roles."	86	90
"lead"	"lead_nou-vrb"	"Jean-Claude Van Damme was cast in the lead role."	38	42
"lead"	"lead_nou-vrb"	"He dismissed the suggestion that federalism could lead separation, saying that separatist movements only took root in unitary states."	50	54
"lead"	"lead_nou"	"Slings used both lead pellets and stones; stones were also commonly thrown by hand."	17	21
"lead"	"lead_nou-vrb"	"It stars Tarun Chandra, Radhika Pandit, and Dileep Raj in the lead roles."	62	66
"lead"	"lead_nou-vrb"	"Many of its members (especially those in the elite Crimson Guard units) lead seemingly normal lives, supporting Cobra covertly."	72	76
"lead"	"lead_nou"	"Lead has the highest atomic number of any stable element and concludes three major decay chains of heavier elements."	0	4
"lead"	"lead_nou-vrb"	"The 1986 team was managed by former player Leon Roberts who had temporarily lead the team the previous season."	76	80
"lead"	"lead_nou-vrb"	"This was more promising: he started from the second row of the grid and stormed into an immediate lead."	98	102
"lead"	"lead_nou-vrb"	"If not treated, ERU can lead to blindness, which occurs more often in Appaloosas than in other breeds."	24	28
"lead"	"lead_nou-vrb"	"It was released as the lead single from their third studio album La Liberacion."	23	27
"lead"	"lead_nou-vrb"	"Dorothy Moore was the lead singer for The Poppies."	22	26
"lead"	"lead_nou"	"It is traditionally composed of 85–99% tin, mixed with copper, antimony, bismuth, and sometimes lead, although the use of lead is less common today."	124	128
"lead"	"lead_nou-vrb"	"The band is chosen every three months from the community of St. Saviour, to lead the difficult confined life."	76	80
"lead"	"lead_nou-vrb"	"Chronic stress can lead to memory loss, damage spatial recognition and produce a decreased drive of eating."	19	23
"lead"	"lead_nou-vrb"	"The angular recesses lead to eight small octagon rooms, four below and as many above with separate stairs to each."	21	25
"lead"	"lead_nou-vrb"	"NOAA was one of the lead agencies responsible for responding to the oil spill."	20	24
"lead"	"lead_nou-vrb"	"An architectural study was carried out between 2000 and 2002, but it did not lead to any excavation work."	77	81
"lead"	"lead_nou"	"1469 saw a wooden bell-tower covered in lead constructed 50 feet above the transept."	40	44
"lead"	"lead_nou-vrb"	"The film stars Vishnuvardhan, Aarathi, Madhavi and Jayamalini in lead roles."	65	69
