"homograph"	"wordid"	"sentence"	"start"	"end"
"deliberate"	"deliberate_adj"	"He later claimed that the throw was deliberate and came out of frustration with his fielders."	36	46
"deliberate"	"deliberate_adj"	"He had a deliberate strategy of making himself nervous before the race, feeling that he thrived on pressure."	9	19
"deliberate"	"deliberate_adj"	"Changes can be planned, agreed upon by many people, being very deliberate, as in urban ecology and especially industrial ecology."	63	73
"deliberate"	"deliberate_adj"	"The first two ""mistakes"" in this list were deliberate, intended to be examples of anti-time contamination."	43	53
"deliberate"	"deliberate_adj"	"Another policy was one of deliberate humiliation."	26	36
"deliberate"	"deliberate_adj"	"The title is a deliberate play on the books of Robinson's Mars Trilogy."	15	25
"deliberate"	"deliberate_adj"	"However, the deliberate manipulation of the ball using an emery board is classified as cheating in baseball and cricket."	13	23
"deliberate"	"deliberate_adj"	"Severe beatings were routine, as was deliberate starvation, torture and summary executions."	37	47
"deliberate"	"deliberate_adj"	"Some filmmakers make deliberate use of the deep focus capabilities of digital formats."	21	31
"deliberate"	"deliberate_adj"	"Some Native American groups in the southeastern portion of North America practised deliberate excarnation in protohistoric times."	83	93
"deliberate"	"deliberate_adj"	"In short, this book is flawless, because all its deficiencies are deliberate products of art."	66	76
"deliberate"	"deliberate_adj"	"Jones has said of it, ""It wasn't as deliberate as us saying, 'Right, we're going to react against cynical comedy'."	36	46
"deliberate"	"deliberate_adj"	"He was a keen observer of their customs and he made a deliberate effort to learn their language."	54	64
"deliberate"	"deliberate_adj"	"One account says the raid was a deliberate attempt to provoke war."	32	42
"deliberate"	"deliberate_adj"	"NATO halted the bombing on 14 September 1995, and ended Deliberate Force six days later."	56	66
"deliberate"	"deliberate_adj"	"The GRENADIERS then launched a deliberate two-pronged night attack supported by artillery on 29 July."	31	41
"deliberate"	"deliberate_adj"	"The ""deliberate and systematic manner in which these extrajudicial executions took place constitutes a crime against humanity."""	5	15
"deliberate"	"deliberate_adj"	"Sensational spelling is the deliberate spelling of a word in an incorrect or non-standard way for special effect."	28	38
"deliberate"	"deliberate_adj"	"Deliberate misrepresentation in the statement can result in liability."	0	10
"deliberate"	"deliberate_adj"	"As such it is a deliberate mental attitude which avoids engaging the emotions of others."	16	26
