"compress"	"compress"	"Conversion of radiant energy into mechanical energy to compress the main body."	55	63
"increment"	"increment_vrb"	"Convert to a negative number, then increment toward zero."	35	44
"discard"	"discard_vrb"	"This feature, however, is tenable only as far as hard determinists discard responsibility."	67	74
"suspect"	"suspect_adj-nou"	"The cops are keeping an eye on Nick because he's a suspect in a murder."	51	58
"job"	"job"	"He then says that Dante came to work of his own free will and ""overcompensates for having a monkey's job""."	101	104
"invert"	"invert_adj-nou"	"The starch content of the tiger nut tubers decreases and the reducing sugar (invert sugar) content increases during storage."	77	83
"sake"	"sake"	"It's time we offer quality in TV content for the sake of actors too""."	49	53
"attribute"	"attribute_nou"	"Use the command line command dir /ah to display the files with the attribute of hidden."	67	76
"desert"	"desert_nou"	"They are in the Mojave Desert east of Lanfair Valley near the Colorado River and Nevada border."	23	29
"intrigue"	"intrigue_nou"	"His books were primarily adventure novels, in the vein of John Buchan or E. Philips Oppenheim, often involving international intrigue."	125	133
"celtic"	"celtic"	"The group also consists of former Celtic Woman singer Alex Sharpe and former Celtic Woman choir member Edel Murphy."	34	40
"overthrow"	"overthrow_vrb"	"Finally, Twig and Maugin return to Sanctaphrax with the required stormphrax, and overthrow the tyrannical Most High Academe, Vilnix Pompolnius."	81	90
"addict"	"addict_nou"	"Danneel Harris returned to portray Rachel Gatina, who is now a drug addict."	68	74
"correlate"	"correlate_nou-vrb"	"These tension levels are not standardized between manufacturers, and do not correlate to specific diameters."	76	85
"ravel"	"ravel_nam"	"Ravel and the rest begin the process of clearing out the city and reactivating the forge of Gauntlygrym."	0	5
"aggregate"	"aggregate_adj-nou"	"Relegation/promotion play-off participant Bayer 04 Leverkusen won on aggregate against Kickers Offenbach and thus retained their Bundesliga status."	69	78
"approximate"	"approximate_adj-nou"	"It is indicated that the approximate value of media exposure through print during the Games was equated to $22.9 million."	25	36
"subordinate"	"subordinate_adj-nou"	"While others have accepted the possible existence of memes, they are sometimes seen as subordinate to genes."	87	98
"pasty"	"pasty_adj"	"In 2017, Sayers were fined £177K over mouse droppings found on pasty, and other breaches of hygienic practice."	64	69
"interchange"	"interchange_nou"	"The eastern half of the I-95 interchange was completed in 1977 when I-95 was extended east to Russell Street."	29	40
"animate"	"animate_adj-nou"	"He has also sired the Group race winners Pelusa, Animate Bio, Lelouch, Trailblazer, Cosmo Nemo Shin and Zennista."	49	56
"increase"	"increase_nou"	"The first NZ Forest Act of 1874 was largely in response to concern about the increase in coastal dune invasions."	77	85
"affect"	"affect"	"Therefore, the use of apéritifs to affect one's consumption of food was a practice in the 5th century."	36	42
"initiate"	"initiate_vrb"	"Indonesians smile a lot to initiate contact, it is highly recommended to smile back in return."	27	35
"deviate"	"deviate_vrb"	"Static performance:Differential nonlinearity (DNL) shows how much two adjacent code analog values deviate from the ideal 1 LSB step."	98	105
"recount"	"recount_nou"	"In a recount, Baker was declared the winner by 266 votes, but Smith appealed to the Cherokee Supreme Court."	5	12
"console"	"console_nou"	"Valve formally announced that it was considering developing a video game console near the end of 2012."	73	80
"invalid"	"invalid_adj"	"Specifically, the appellant claimed that the Louisiana law violated the Fourteenth Amendment, and was therefore invalid."	112	119
"duplicate"	"duplicate_adj-nou"	"Note: Use of the term IVD is best avoided because of its duplicate meanings."	57	66
"deviate"	"deviate_vrb"	"The Australian Monarchist League (AML) does not deviate from the official position."	48	55
"intrigue"	"intrigue_nou"	"Due to the large number of parliamentarians frequenting the restaurant, it was also the place for politic intrigue."	106	114
"polish"	"polish_geo"	"After playing for Chipola Junior College, Latoya signed with the MUKS Poznan in Polish 1st division for the 2009-2010 season."	80	86
"sake"	"sake"	"It is also the most sustainable, pleasant, self-sufficient activity; something which is aimed at for its own sake."	109	113
"rebel"	"rebel_nou"	"In 2005, she was a postal privatization rebel, but defended the seat against ""assassin"" candidate Yukari Sato."	40	45
"abstract"	"abstract_adj-nou"	"On the even numbered cards, the abstract curved lines are all that is present."	32	40
"conflict"	"conflict_nou"	"However, he came into conflict with Bhima and died in the conflict."	22	30
"moped"	"moped_nou"	"The Rapido is classed as a moped and has a typical top speed of 50 km/h (31 mph)."	27	32
"blessed"	"blessed_vrb"	"Thereupon he got water from a spring not far from the castle, and blessed the sick person with this water."	66	73
"transplant"	"transplant_nou"	"In absence of a liver transplant, the MSUD diet must be adhered to strictly and permanently."	22	32
"lives"	"lives_vrb"	"He is married with four children, and lives in France."	38	43
"discard"	"discard_nou"	"If the draw deck becomes depleted during play, shuffle the discard pile and begin again."	59	66
"transform"	"transform"	"The purpose is to transform these ideas into programs of political action to better the future of Spain."	18	27
"abuse"	"abuse_nou"	"Some such suits accuse the Vatican of complicity in sexual abuse by priests and money laundering."	59	64
"discard"	"discard_vrb"	"Norbert decides to discard their next project, John the Baptist, and move directly to Jesus."	19	26
"perfect"	"perfect_adj"	"He wrote: ""The song is a perfect synthesis of correct energy quotient, with right amount of voice balance."	25	32
"consummate"	"consummate_adj"	"He was considered a consummate planner, especially in the area of combined operations with land forces."	20	30
"lives"	"lives_vrb"	"Grandpa (じいちゃん Jiichan)Voiced by: Kenichi OgataTetsuo's father who lives in nearby Edajima Town."	77	82
