"homograph"	"wordid"	"sentence"	"start"	"end"
"bow"	"bow_nou-knot"	"He wears blue suit with a red bow and carnation and a boater hat."	30	33
"bow"	"bow_nou-knot"	"Inlay sections could be sawed by bow saws."	33	36
"bow"	"bow_nou-ship"	"They also have a retractable bowsprit that extends a spinnaker-genoa ""kite"" two or more meters beyond the bow."	106	109
"bow"	"bow_nou-ship"	"The superiority of Yourkevitch's hull was visible: hardly a wave was created off the bulbous bow."	93	96
"bow"	"bow_nou-ship"	"She returned to St. John's, where a temporary wooden bow was fitted until permanent repairs were made in Scotland."	53	56
"bow"	"bow_nou-ship"	"Shreaves and his crew worked another cable set under the bow and again Ajax pulled."	57	60
"bow"	"bow_nou-knot"	"This plant grows in Ravalli, Beaverhead, and Silver Bow Counties in Montana."	52	55
"bow"	"bow_nou-ship"	"The video begins with Bow Wow reading a letter from his fiancé, breaking off their engagement."	22	25
"bow"	"bow_nou-ship"	"During its scuttling the bow section broke off, exposing the forward torpedoes tubes and bow modifications."	25	28
"bow"	"bow_nou-ship"	"He extended a deep bow before and after his speech."	19	22
"bow"	"bow_nou-knot"	"The round bow is also equipped with horse hair."	10	13
"bow"	"bow_nou-ship"	"Tamandaré received three shots in her bow and was making 6 inches of water per hour."	39	42
"bow"	"bow_nou-knot"	"The SS Princess Mary was built by Bow, McLachlan and Company of Paisley, Scotland for the Canadian Pacific Railway."	34	37
"bow"	"bow_nou-ship"	"The reverse shows a view of the starboard quarter of the Lusitania correctly depicted sinking bow first."	94	97
"bow"	"bow_nou-knot"	"It is one of the oldest string instruments in the world played with a bow."	70	73
"bow"	"bow_nou-ship"	"The presentation is to be accompanied by a slight bow."	50	53
"bow"	"bow_nou-ship"	"In extreme cases a kneeling bow is performed; this bow is sometimes so deep that the forehead touches the floor."	28	31
"bow"	"bow_nou-ship"	"This trimming effect is mistakenly called 'bow lift'."	43	46
"bow"	"bow_nou-knot"	"Bow kites are popular with riders from beginner to advanced levels."	0	3
"bow"	"bow_nou-knot"	"Once traveling through this forest, Pandavas gets thirsty and Arjuna uses his bow to discover water from the earth."	78	81
"bow"	"bow_nou-knot"	"Overture: More Strings to Our Bow Opening number."	30	33
"bow"	"bow_nou-ship"	"As completed Gromoboi trimmed badly by the bow, which reduced her speed and made her very wet forward."	43	46
"bow"	"bow_nou-knot"	"After that Dasharatha prayed to the sage to forgive him but Parashurama remained enraged and brought out Vishnu's bow."	114	117
"bow"	"bow_nou-knot"	"They find the Hall of Dumathoin, recovering the magical bow Taulmaril (the Heartseeker) which later becomes Catti-brie's signature weapon."	56	59
"bow"	"bow_nou-ship"	"The bow would finally sink later the next day."	4	7
"bow"	"bow_nou-ship"	"Often swim alongside the bow of vessels and frolic in the bow waves."	58	61
"bow"	"bow_nou-knot"	"These include dendrites, branch type, bush type, spikes, strings, bow-ties and vented trees."	66	69
"bow"	"bow_nou-knot"	"Further north, Elhant encounters an Ent who rewards him with a bow for his help in clearing the Zombies."	63	66
"bow"	"bow_nou-ship"	"People should bow one time for those who are alive and twice for those who are deceased."	14	17
"bow"	"bow_nou-ship"	"The boats were armed with eight internal 53.3 cm (21.0 in) torpedo tubes, four each in the bow and stern."	91	94
"bow"	"bow_nou-ship"	"She was armed with ten 12-pounder carronades and two 6-pounder bow guns."	63	66
"bow"	"bow_nou-ship"	"For maneuvering at ports, Hansa Brandenburg has a 900 kW bow thruster."	57	60
"bow"	"bow_nou-ship"	"Iphigénie easily eluded Africaine, and gave Astrée an opportunity for raking Africaine's bow."	91	94
"bow"	"bow_nou-knot"	"When worn by a woman the medal may be suspended by the ribbon shaped into a bow."	76	79
"bow"	"bow_nou-ship"	"The collision killed one crewman aboard the French ship and Keppel's bow penetrated all the way to Jaguar's midline."	69	72
"bow"	"bow_nou-knot"	"Each target with an arrow in the center, and a little boy with a bow."	65	68
"bow"	"bow_nou-knot"	"Iron and steel will bend and bow,Bend and bow, bend and bow,Iron and steel will bend and bow,My fair lady."	29	32
