"homograph"	"wordid"	"sentence"	"start"	"end"
"rebel"	"rebel_nou"	"Involving himself with this rebel group he gets into trouble and has his house and goods confiscated."	28	33
"rebel"	"rebel_nou"	"He was a Heathite, and was a frequent rebel under Margaret Thatcher."	38	43
"rebel"	"rebel_nou"	"The Mon language instruction survives in the Thai-Burmese border inside the Mon rebel controlled areas."	80	85
"rebel"	"rebel_nou"	"Peter Dak, the rebel commander in Mayom, announced that he fled the town on the evening of 7 January."	15	20
"rebel"	"rebel_nou"	"She appears as a rebel that doesn't let any authority interfere in her life."	17	22
"rebel"	"rebel_nou"	"It was presented by the disc jockey Ed Stewart, nicknamed ""Stewpot"", and was co-hosted by Zed, the ""rebel robot""."	100	105
"rebel"	"rebel_nou"	"However, in a surprise nighttime rebel attack, she is seriously wounded."	33	38
"rebel"	"rebel_nou"	"The Rebel Yell is the student newspaper on campus."	4	9
"rebel"	"rebel_nou"	"The move made it practically impossible for anyone to escape the onslaught of the rebel war."	82	87
"rebel"	"rebel_nou"	"Sudanese Rebel Leaders have accused him of being involved in severe human rights violations in Darfur during the Darfur Conflict."	9	14
"rebel"	"rebel_nou"	"In 616, he followed an agrarian rebel from the same locale, Cao Shiqi (操師乞), in rising against Sui Dynasty rule."	32	37
"rebel"	"rebel_nou"	"With this force, Kalia Bhomora Borphukan crossed the Brahmaputra river, attacked and defeated the rebel forces."	98	103
"rebel"	"rebel_nou"	"The Sladen mission had stayed seven weeks at Momien meeting with rebel officials."	65	70
"rebel"	"rebel_nou"	"Portrait of an American Rebel became a best-seller and has gone into four printings."	24	29
"rebel"	"rebel_vrb"	"After Lester shares a joint with Ricky, his spirit is released and he begins to rebel against Carolyn."	80	85
"rebel"	"rebel_nou"	"In 1932, he appeared as Riederer in Der Rebell (The Rebel)."	52	57
"rebel"	"rebel_nou"	"With a Rebel yell, they leaped into the hiding place."	7	12
"rebel"	"rebel_nou"	"At the outbreak of the uprising the rebel forces derailed a military train."	36	41
"rebel"	"rebel_nou"	"In 2009 Burnett published a book of intimate, unpublished images he took of reggae singer Bob Marley, titled Soul Rebel."	114	119
"rebel"	"rebel_nou"	"However, the rebel fleet was defeated on 18 April 727 by the loyalist navy through the use of Greek fire."	13	18
"rebel"	"rebel_nou"	"Many formerly rebel-held towns sent soldiers to Navarre as well."	14	19
"rebel"	"rebel_nou"	"Thomas was executed as a rebel and replaced by his younger brother Henry, 3rd Earl of Lancaster."	25	30
"rebel"	"rebel_nou"	"Tyler continued his career in the collegiate ranks, as receivers coach on Johnny Vaught's Ole Miss Rebel staff."	99	104
"rebel"	"rebel_nou"	"Syrian government troops regrouped south of the city, and were preparing for a possible attack by rebel forces."	98	103
"rebel"	"rebel_nou"	"Rob Allen, who is also referred to by Twitter followers as King Rebel, has started the movement called the Robellion."	64	69
"rebel"	"rebel_nou"	"Somehow the rebel Basestar's hybrid detects her shooting and panics, causing the ship to jump away."	12	17
"rebel"	"rebel_nou"	"There's this beautiful openness to the way Rebel approaches everything, and that's what works great for the character."	43	48
"rebel"	"rebel_nou"	"In 2005, she was a postal privatization rebel, but defended the seat against ""assassin"" candidate Yukari Sato."	40	45
"rebel"	"rebel_nou"	"It included seven new tracks: ""Rebel Nation,"" ""Last Dance,"" ""Revolution,"" ""Stockholm Skies,"" ""Someone Else,"" ""Stay,"" and ""."	31	36
"rebel"	"rebel_nou"	"At the start of 7 February, government troops were seven kilometers from rebel-held Tell Rifaat."	73	78
"rebel"	"rebel_nou"	"Following the 1993 Embassy World Championship, the BDO suspended the ""rebel"" players from all tournaments."	70	75
"rebel"	"rebel_nou"	"On February 1, 1838, rebel Rafael Carrera took Guatemala City, capital of the federation."	21	26
"rebel"	"rebel_nou"	"The Mai-Mai also attacked rebel forces at the villages of Katoro and Nyongera, in an attempt to advance toward Kiwanja."	26	31
"rebel"	"rebel_nou"	"This because of the different rebel groups that infest the parks in this region."	30	35
"rebel"	"rebel_nou"	"On 24 June 1685 rebel forces camped at Pensford during the Monmouth Rebellion."	16	21
"rebel"	"rebel_nou"	"On 5 July the First Mixed Brigade infiltrated the rebel lines near Brunete."	50	55
"rebel"	"rebel_nou"	"Dunn trained and rode his first World Grand Championship on the bay stallion Dark Spirit's Rebel."	91	96
"rebel"	"rebel_vrb"	"Most of the village men seek to rebel but Li Kung talks them down."	32	37
"rebel"	"rebel_nou"	"Originally the song ""Rebel Meets Rebel"" was supposed to be released as a duet with Coe and Phil Anselmo."	33	38
"rebel"	"rebel_nou"	"He has also designed extensively for film including The Rocky Horror Picture Show, Starstruck, Rebel and Ground Zero."	95	100
"rebel"	"rebel_nou"	"In Ukraine, the most notorious peasant rebel leader was an anarchist general named Nestor Makhno."	39	44
"rebel"	"rebel_nou"	"He represents one of the 2 major former rebel groups."	40	45
"rebel"	"rebel_nou"	"He was present at the time of the uprising of the rebel army on July 18, 1936."	50	55
