"homograph"	"wordid"	"sentence"	"start"	"end"
"project"	"project_nou"	"The project has three buildings, four floors to a building and four rooms to an apartment."	4	11
"project"	"project_nou"	"The goal of the project is to create a distinct style of beer for Quebec."	16	23
"project"	"project_nou"	"Financial burdens through this part of the project caused further delays."	43	50
"project"	"project_nou"	"New York City Guide, Volume 1, Federal Writer's Project, 1939, pg."	48	55
"project"	"project_nou"	"It could be said that Vidyavihar has gained prominence due to this project."	67	74
"project"	"project_nou"	"The project covered protection of 546 hectares and enhancement planting in 39 hectares."	4	11
"project"	"project_nou"	"Pain of Salvation described its next project as a two album concept."	37	44
"project"	"project_nou"	"The project is looking to begin production in Montreal around June 2016."	4	11
"project"	"project_nou"	"The assessment found that coral reefs and mangroves within the allotted 350-hectare project would be harmed."	84	91
"project"	"project_nou"	"In September 2007, Iran Daily reported that the Tehran monorail project will become operational by 2011."	64	71
"project"	"project_vrb"	"Bays project on the west and south."	5	12
"project"	"project_nou"	"The project has been featured in several notable news agencies such as Gizmag and Metro UK."	4	11
"project"	"project_nou"	"Ronson was one of the artists featured in the 2012 documentary Re:GENERATION Music Project."	83	90
"project"	"project_nou"	"The project involved building the new causeway to the north of the original alignment, using pre-cast concrete segments."	4	11
"project"	"project_nou"	"After earning his degree, Quarterman was hired to work on the Manhattan Project."	72	79
"project"	"project_nou"	"The project is collaborating with a number of groups representing various demographics within Sutton's population."	4	11
"project"	"project_nou"	"Also assisting the project was Parker Dozhier, a bait shop owner who was reportedly obsessed with bringing down Bill Clinton."	19	26
"project"	"project_nou"	"As of 2017, there were 346 students participating in the project."	57	64
"project"	"project_nou"	"Miranda Bailey (Chandra Wilson) was on a project mapping out the human genome."	41	48
"project"	"project_nou"	"The Mark IV would have been a 1,000 feet (300 m) diameter standalone telescope, built as a national project."	100	107
"project"	"project_nou"	"The ability of the engineers to understand the complexity of a project this size has also come into question."	63	70
"project"	"project_nou"	"In September 2012, the project acquired its first vehicle, an ex Mark 1 coach Brake Gangwayed."	23	30
"project"	"project_nou"	"CSX has a similar goal with National Gateway Project project which is also upgrading bridges and tunnels."	45	52
"project"	"project_nou"	"Silverstein then attempted a failed Indiegogo project to raise money to build a better version of the site."	46	53
"project"	"project_nou"	"An FBI affidavit stated QED to be ""an extremely sensitive project."	58	65
"project"	"project_nou"	"They called their first project, a 1-story stone cabin, Pendarvis."	24	31
"project"	"project_nou"	"The entire operation, known as the ""Under One Roof"" project, totaled over 15 million dollars."	52	59
"project"	"project_nou"	"Chua Jin Sen (better known as Dr Jia Jia)'s involvement in the project kindled public interest."	63	70
"project"	"project_nou"	"As a part of his work he has been a Faculty Fellow for Project Cyclops and Project OASIS for NASA."	75	82
"project"	"project_nou"	"He holds the Project Management Professional certification along with several IT/Telecommunication certifications."	13	20
"project"	"project_nou"	"The project is currently directed by Peter Funke."	4	11
"project"	"project_nou"	"This project was estimated to cost 75 million dollars, entirely funded by the Government of Canada."	5	12
"project"	"project_nou"	"It was later announced that the Channel Orange project was actually his debut album and would launch a corresponding tour."	47	54
"project"	"project_nou"	"The following year he exhibited part of the project Inverse at the Galleria Il Ponte Contemporanea of Rome."	44	51
"project"	"project_nou"	"The operating system developed at Project Genie was the Berkeley Timesharing System."	34	41
"project"	"project_nou"	"The project was terminated in 1975, in part because of anticipated software incompatibilities between FS and 360/370."	4	11
"project"	"project_nou"	"Low Tien Sio, SMRTC's general manager (project administration) served as the secretary."	39	46
"project"	"project_nou"	"UNESCO launched the Slave Route Project in 1994."	32	39
