"homograph"	"wordid"	"sentence"	"start"	"end"
"blessed"	"blessed_adj"	"The private schools Madrona School and Blessed Sacrament School also find their home in the neighbourhood."	39	46
"blessed"	"blessed_vrb"	"The district is further blessed with nine (9) minor lakes that comprise part of the Lake Kyoga system."	24	31
"blessed"	"blessed_vrb"	"According to Islamic law, animals must be butchered in a halal way and blessed before they can be eaten."	71	78
"blessed"	"blessed_adj"	"She painted pictures on the walls of her cell, including one of the Blessed Virgin and the Christ Child."	68	75
"blessed"	"blessed_adj"	"The recently renovated Cathedral of the Blessed Sacrament located at 11th and K Streets."	40	47
"blessed"	"blessed_vrb"	"Peru is both afflicted and blessed by a peculiar climate due to the Humboldt Current."	27	34
"blessed"	"blessed_adj"	"Melkor soon destroyed Almaren, and the Valar established a new abode in the Uttermost West: the Blessed Realm of Valinor."	96	103
"blessed"	"blessed_vrb"	"The new school building was blessed on September 24, 1949."	28	35
"blessed"	"blessed_vrb"	"Dev Kaljayi also knew of their grievances, so one day he blessed them to have a great child."	57	64
"blessed"	"blessed_adj"	"Once one has begun to measure, one should say, ""Blessed be the One who sends blessing into this heap."""	48	55
"blessed"	"blessed_vrb"	"Villages in Jobat area are now blessed with road connectivity."	31	38
"blessed"	"blessed_adj"	"The church is dedicated to ""Mukthiamma"" (Blessed Virgin Mary)."	41	48
"blessed"	"blessed_adj"	"The school name was changed to Blessed Cardinal Newman in February 2011."	31	38
"blessed"	"blessed_adj"	"However, the Blessed Soul has not been considered one of Bernini's finest works in more recent times."	13	20
"blessed"	"blessed_adj"	"The south transept contains the church sacristy, with the north transept a chapel dedicated to the Blessed Virgin Mary."	99	106
"blessed"	"blessed_vrb"	"The first story was built by Father Daniel Hall in 1932, blessed and inaugurated on April 10 of that year."	57	64
"blessed"	"blessed_vrb"	"He wrote four episodes for the fifth season; ""My Opening Farewell"", ""Surrender"", ""Blessed and Bewildered"" and ""Higher Calling""."	82	89
"blessed"	"blessed_adj"	"Edessa thus became the blessed city by possessing the greatest pearl India could yield."	23	30
"blessed"	"blessed_vrb"	"Philipson has been described as ""one of those late Victorian gentleman amateurs quite indecently blessed by fortune""."	97	104
"blessed"	"blessed_adj"	"The name is French for Elysian Fields, the place of the blessed dead in Greek mythology."	56	63
"blessed"	"blessed_vrb"	"We get blessed and all our sins get cleared off watching and participating in the fair."	7	14
"blessed"	"blessed_adj"	"The 4th year sections are named after the titles of the Blessed Virgin Mother."	56	63
"blessed"	"blessed_vrb"	"During the Vamana avatar, Lord Vishnu blessed him to be a Chiranjivi."	38	45
"blessed"	"blessed_vrb"	"There's no question Rimes has been blessed with a magnificent voice."	35	42
"blessed"	"blessed_adj"	"This is an allegory for Nocturnal Adoration of the Blessed Sacrament."	51	58
"blessed"	"blessed_adj"	"Ironically, a Norfolk parochial school, Blessed Sacrament, had accepted its first black pupil in November 1953, even before Brown."	40	47
"blessed"	"blessed_adj"	"He kissed the blessed feet of Hadrat and exhaled 3 times, before coming down and leaving."	14	21
"blessed"	"blessed_adj"	"Theologians, therefore, generally hold that the heaven of the blessed is a special place with definite limits."	62	69
"blessed"	"blessed_adj"	"It also contains paintings by Biagio Miniera, and Nicola Monti (depicting the Blessed Beato Corrado)."	78	85
"blessed"	"blessed_vrb"	"Bukhari said on Facebook ""Muslims who fight against the occupation of their lands are 'Mujahadeen' and are blessed by Allah."	107	114
"blessed"	"blessed_adj"	"The Blessed Virgin Mary, the mother of Jesus, has an important role in the spirituality of the Order."	4	11
"blessed"	"blessed_adj"	"As master, he was a proponent of popular preaching along the lines of the Congregation of the Blessed Sacrament."	94	101
"blessed"	"blessed_vrb"	"The park is blessed with children's play area, green grounds and exotic plants."	12	19
"blessed"	"blessed_adj"	"So weep for the blessed, favoured by God, man of piety,supporter of right and guided with guidance."	16	23
"blessed"	"blessed_vrb"	"Pleased by his devotion, Shiva appeared before him and blessed him."	55	62
"blessed"	"blessed_adj"	"Today this chapel holds the Blessed Sacrament and the Holy Cross of the Basilica."	28	35
"blessed"	"blessed_adj"	"The Christian ""proof of strength"" is ""Belief makes blessed: thus it is true."""	51	58
"blessed"	"blessed_adj"	"He also sees a procession of the blessed."	33	40
"blessed"	"blessed_vrb"	"It was blessed on the 27th April 1948."	7	14
"blessed"	"blessed_adj"	"There died the blessed man Simon, doorkeeper of Qedar, brother of Thomas the priest."	15	22
"blessed"	"blessed_adj"	"In September 1973, the funeral for John Ford, Hollywood's most honored film director, was held at Blessed Sacrament."	98	105
"blessed"	"blessed_adj"	"Blessed is He that cometh in the name of the Lord."	0	7
"blessed"	"blessed_vrb"	"Yellow stripe (sikyangpu): Sitala, many flowers, for when plant life is rejuvenated, the land is blessed with renewed spirits."	97	104
"blessed"	"blessed_vrb"	"It was completed and blessed in 1850, and was at that time the largest church in Hyderabad State."	21	28
"blessed"	"blessed_vrb"	"He succeeds in answering the questions, and is blessed with heavenly rewards."	47	54
"blessed"	"blessed_vrb"	"God blessed him as a Wonderworker and he reposed in peace."	4	11
"blessed"	"blessed_adj"	"On his left the Blessed Virgin Mary and Saint Augustine were painted."	16	23
"blessed"	"blessed_vrb"	"Satchidananda blessed Richard that he may ""discover the treasure of his heart""."	14	21
"blessed"	"blessed_vrb"	"Despite his wandering mind, and his blindness, he gave a sense under it all of someone blessed or enlightened."	87	94
"blessed"	"blessed_vrb"	"On 24 July 1926 the Archbishop of Brisbane Gerald Sharp blessed the granite foundation stone of Holy Trinity Church."	56	63
"blessed"	"blessed_vrb"	"Also there is tomb of ""Dadi Amma"" where a stone exists that has been blessed by a spiritual leader."	69	76
