"homograph"	"wordid"	"sentence"	"start"	"end"
"contrast"	"contrast_nou"	"Due to the contrast between their personalities, he also has a far more genial appearance to his face."	11	19
"contrast"	"contrast_nou"	"In contrast, an ornate titi may stay in sleeping site for up to four hours after sunrise in colder months."	3	11
"contrast"	"contrast_nou"	"Use of the terms quartal and quintal arises from a contrast, compositional or perceptual, with traditional tertian harmonic constructions."	51	59
"contrast"	"contrast_nou"	"This technique is used mostly for high contrast data."	39	47
"contrast"	"contrast_nou"	"Phonologically, Etruscan appears uncomplicated, with a four-vowel system and an apparent contrast between aspirated and unaspirated stops."	89	97
"contrast"	"contrast_nou"	"By contrast to the south east the fell ends in White Horse Bent, the abrupt ridge-end descent to the Glenderamackin."	3	11
"contrast"	"contrast_nou"	"His paintings often depict real life objects embued with enhanced color and contrast for a super-lifelike effect."	76	84
"contrast"	"contrast_nou"	"By contrast, online models include some automatic procedure to adapt to new process data."	3	11
"contrast"	"contrast_nou"	"In contrast, sharia in its traditional form, had no appeals system and gave local judges final say."	3	11
"contrast"	"contrast_nou"	"Theories of syntax that employ X-bar theory, in contrast, will acknowledge many individual words as phrases."	48	56
"contrast"	"contrast_nou"	"In contrast, bicalutamide and other are not associated with these adverse effects."	3	11
"contrast"	"contrast_nou"	"In contrast to most other coastal regions in Vietnam, the South Central Coast's terrain is not mainly flat."	3	11
"contrast"	"contrast_nou"	"In contrast, the analytical stereoplotter has no substantial limitations on focal length or scale."	3	11
"contrast"	"contrast_nou"	"By contrast, wooden items retrieved from the Egyptian pyramids have a new and fresh appearance after 4000 years of storage."	3	11
"contrast"	"contrast_nou"	"Lighting creates the 2D pattern of contrast the brain interprets to recognize 3D objects in photographs."	35	43
"contrast"	"contrast_nou"	"In contrast to both his parents' girth, Lajoska appears pale and impoverished, with a thin anemic frame and haunted visage."	3	11
"contrast"	"contrast_nou"	"For one, 16% of Skopjans graduated university in contrast to 10% for the rest of the country."	49	57
"contrast"	"contrast_nou"	"In contrast, a ""descriptive"" definition can be shown to be ""right"" or ""wrong"" with reference to general usage."	3	11
"contrast"	"contrast_nou"	"In contrast, MR-IOV allows I/O PCI Express to share resources among different VMs on different physical machines."	3	11
"contrast"	"contrast_nou"	"This announcement was a sharp contrast with the former official doctrine that Indonesia was a wingewest (region for making profit)."	30	38
"contrast"	"contrast_nou"	"In contrast to the Cartesian ""pure and rational subjectivity,"" Marx introduced social activity as the force that produces rationality."	3	11
"contrast"	"contrast_nou"	"Variation X.In contrast to the preceding number, Variation 10 is Allegro energico, fast and exhilarating."	15	23
"contrast"	"contrast_nou"	"The film, by contrast, was released only in mono sound."	13	21
