"homograph"	"wordid"	"sentence"	"start"	"end"
"axes"	"axes_nou"	"The Representation is one of the axes around the historiographic disputes about Mariano Moreno."	33	37
"axes"	"axes_nou"	"It comprises erect axes terminating in corymbose clusters of erect sporangia."	19	23
"axes"	"axes_nou-vrb"	"The earliest evidence includes several neolithic stone axes, Bronze Age axes and Hallstatt and La Tene burial mounds."	55	59
"axes"	"axes_nou-vrb"	"However, axes have been discovered that do not clearly fit into either category."	9	13
"axes"	"axes_nou"	"The present manor house is a building with eight axes of symmetry with rendered walls, a slate-covered half-hipped mansard roof."	49	53
"axes"	"axes_nou-vrb"	"The arms show two crossed silver axes on a blue background."	33	37
"axes"	"axes_nou-vrb"	"An alternate theory states that rather than stone axes, early humans in east Asia used bamboo tools instead."	50	54
"axes"	"axes_nou"	"It is possible now to read off the major and minor axes of this ellipse."	51	55
"axes"	"axes_nou"	"If the crystal symmetry is monoclinic or triclinic, even the angles between these axes are subject to thermal changes."	82	86
"axes"	"axes_nou"	"The leafless stems (axes) bore 10-12 elliptical spore-forming organs or sporangia on side branches."	20	24
"axes"	"axes_nou"	"The diagnostic characters are naked axes branching isotomously, terminating in fusiform sporangia."	36	40
"axes"	"axes_nou"	"The prosoma (head) was subtrapezoidal, with arcuate compound eyes on parallel axes."	78	82
"axes"	"axes_nou-vrb"	"Using ""hoes, pick-axes and chisels, they hammered away at the two earthen tombs until they were completely destroyed""."	18	22
"axes"	"axes_nou-vrb"	"However more recent research demonstrated that hand-axes from Spain were made more than 900,000 years ago."	52	56
"axes"	"axes_nou-vrb"	"Early artefacts found in the vicinity include Neolithic hand-axes and Bronze and Iron Age pottery."	61	65
"axes"	"axes_nou-vrb"	"It is equipped with bronze battle axes, steel armor, and electric lights on the soldiers' foreheads."	34	38
"axes"	"axes_nou-vrb"	"Flakes and axes coexisted in Europe, sometimes at the same site."	11	15
"axes"	"axes_nou-vrb"	"Francis Pryor attributes this to these axes being particularly valued in this region."	39	43
"axes"	"axes_nou"	"Anisophyton was a genus of Silu-Devonian land plant with branching axes."	67	71
"axes"	"axes_nou"	"Today, CNC mills can have 4 to 6 axes."	33	37
"axes"	"axes_nou-vrb"	"These nuggets were sent to regional trade centers where artisans turned them into beads, amulets, knives, and axes."	110	114
"axes"	"axes_nou"	"The output for the orientation tensor is in the three orthogonal (perpendicular) axes of space."	81	85
"axes"	"axes_nou-vrb"	"Their development and perfection achieved is remarkable, in developing yokes, palms, axes, snakes, smiling caritas and monumental clay sculptures."	85	89
"axes"	"axes_nou"	"The number of axes for multiaxis machines varies from 4 to 9."	14	18
"axes"	"axes_nou-vrb"	"The fasces is a symbol associated with justice (from Roman lictor's axes, in this case not fascism)."	68	72
"axes"	"axes_nou-vrb"	"Halberds, polearms, and dagger axes were also common weapons during this time."	31	35
"axes"	"axes_nou-vrb"	"Characteristic tools include flake axes, lanceolates and tanged arrowheads."	35	39
"axes"	"axes_nou-vrb"	"The thick layers of Jabroudian consist mainly in heavy scratchers and hand axes."	75	79
"axes"	"axes_nou-vrb"	"Most civilian victims in Dominopol were killed by axes and knives."	50	54
"axes"	"axes_nou"	"The 3D plane which intersects with axes X1 and X2 is the front side of the camera, or principal plane."	35	39
"axes"	"axes_nou"	"Later in the day, a further counter-attack was put in by the enemy on two axes."	74	78
"axes"	"axes_nou"	"This product is where a and b are the semi-major and semi-minor axes respectively."	64	68
"axes"	"axes_nou-vrb"	"Few hand axes show evidence of impact damage."	9	13
"axes"	"axes_nou"	"And later, by providing integrators for these two axes, one would then have a full fledged Inertial Navigation System."	50	54
"axes"	"axes_nou-vrb"	"Among the axes used were battle axes and single handed axes."	55	59
"axes"	"axes_nou-vrb"	"Nevertheless, many weapons such as swords, spears, lances, battle-axes, scimitars, shields, crossbows, and arrowheads have been found in the pits."	66	70
"axes"	"axes_nou"	"It grew to several centimetres in length, and its axes were almost a centimeter across."	50	54
"axes"	"axes_nou"	"North Menan Butte is slightly larger and elliptical, with axes 3.5 and 2.5 km in length."	58	62
"axes"	"axes_nou"	"As shown in figure 19, there are wide tunnels surrounded by the icosahedron arrangement along the a- and b-axes."	107	111
"axes"	"axes_nou-vrb"	"Elsewhere at the site, many more stone tools were discovered, including implements such as axes, atlatl components, pestles, and celts."	91	95
"axes"	"axes_nou"	"But, torques not aligned along a principal axis will also cause rotations about other axes."	86	90
"axes"	"axes_nou"	"Accelerometer measures acceleration along X,Y,Z axes of the body part to which it is affixed."	48	52
"axes"	"axes_nou"	"Equal permutation along various axes with equal orders can be combined by adding the factors 2ᵃˣⁱˢ."	32	36
"axes"	"axes_nou-vrb"	"Unsuspecting, outnumbered, and surrounded, the Llancarfan army fell to the Thrall's unforgiving axes."	96	100
"axes"	"axes_nou"	"The attack was initially slowed down due to terrain features along the attack axes."	78	82
"axes"	"axes_nou-vrb"	"Pottery, burnt stones and broken stone axes were found."	39	43
"axes"	"axes_nou-vrb"	"This design would be very effective against the standard weapons of the Asia Minor armies: swords, spears, and light axes."	117	121
"axes"	"axes_nou"	"Solar sails are pivotally mounted wings, capable of rotation on two axes."	68	72
"axes"	"axes_nou"	"The axes of advance for both Eugene and Jellacic intersected at Sankt Michael."	4	8
"axes"	"axes_nou"	"There are additional glide reflections in six distinct directions, whose axes are located halfway between adjacent parallel reflection axes."	135	139
"axes"	"axes_nou"	"The long axes of the feldspar grains show a preferred orientation in some places."	9	13
"axes"	"axes_nou-vrb"	"Koxinga ordered soldiers to cut the iron chain by axes, and to set fire to the enemy's wooden rafts."	50	54
"axes"	"axes_nou-vrb"	"The primary innovation associated with Acheulean hand-axes is that the stone was worked symmetrically and on both sides."	54	58
"axes"	"axes_nou"	"The dimensions of valence and arousal lay at a 45-degree rotation over these axes."	77	81
"axes"	"axes_nou-vrb"	"Meriones, therefore, took all ten double-edged axes, while Teucer bore off the single-edged ones to his ships."	47	51
"axes"	"axes_nou"	"The coordinate axes of Arm1 and Arm 2 are the principal axes such that the inertia tensors are diagonal."	56	60
"axes"	"axes_nou-vrb"	"Stone-age tools of flint, in the shape of blades, arrows and axes have been found in the area."	61	65
"axes"	"axes_nou"	"The three main research axes concern: polyelectrolytes, polymers at the interfaces and self-assembly systems."	24	28
