"homograph"	"wordid"	"sentence"	"start"	"end"
"mouth"	"mouth_nou"	"The disease is characterized by subcutaneous hemorrhaging of the mouth, fins, and eyes."	65	70
"mouth"	"mouth_nou"	"The nostrils are very large, and are flanked by greatly expanded, triangular flaps of skin that reach the mouth."	106	111
"mouth"	"mouth_nou"	"It lies at the mouth of the Siyin Valley where it deboushes into the Kale Valley."	15	20
"mouth"	"mouth_nou"	"Team EY began with word-of-mouth contests hosted for free in local schoolyards and do-it-yourself skateboard videos featuring local talent."	27	32
"mouth"	"mouth_nou"	"The meaning is ""the cove at the mouth of (Numedals)lagen""."	32	37
"mouth"	"mouth_nou"	"They have piercing mouth parts that suck the sap out of plant tissue."	19	24
"mouth"	"mouth_nou"	"The young may make several tentative trips outside the parent's mouth to investigate the surroundings before leaving permanently."	64	69
"mouth"	"mouth_nou"	"The archipelago is situated near the eastern shoreline of the lake, north of the mouth of the Belanger River."	81	86
"mouth"	"mouth_nou"	"No sooner were the words out of his mouth than a cannon bogged down."	36	41
"mouth"	"mouth_nou"	"They supported Trivium for the first leg of the North American into the Mouth of Hell We March Tour."	72	77
"mouth"	"mouth_nou"	"The southern edge of the frazione is formed by the mouth of the natural course of the Birgi River."	51	56
"mouth"	"mouth_nou"	"The South Gippsland Highway traverses the Main Drain near its river mouth, emptying into the Western Port."	68	73
"mouth"	"mouth_nou"	"Tourism is being developed in the region, and the small beach at the river mouth may be attractive."	75	80
"mouth"	"mouth_nou"	"It is taken by mouth or used rectally."	15	20
"mouth"	"mouth_nou"	"Arrived at the mouth of the Yazoo River December 25."	15	20
"mouth"	"mouth_nou"	"This time they picked Finnish ""motor-mouth"" Pasi Rautiainen."	37	42
"mouth"	"mouth_nou"	"The face is the anterior part of the head, containing the sensory organs the eyes, nose and mouth."	92	97
"mouth"	"mouth_nou"	"The settlement of Go Home is located about 1.2 kilometres (0.7 mi) further west of the river's mouth."	95	100
"mouth"	"mouth_nou"	"Danny walks out with an actress Sunset has dubbed ""Big Mouth"", who's real name is Lizzie."	55	60
"mouth"	"mouth_nou"	"Ethanol avoidance includes avoiding the ingestion of and, depending on an individual's history, mouth washing with, such agents."	96	101
"mouth"	"mouth_nou"	"Bearwallow Run joins Shingle Mill Run 0.84 miles (1.35 km) upstream of its mouth."	75	80
