"homograph"	"wordid"	"sentence"	"start"	"end"
"nestle"	"nestle_nam"	"Watching Jimmy Nelson's Nestle commercials on television piqued his interest in the art form."	24	30
"nestle"	"nestle_nam"	"Customers who bought the recalled products were refunded by contacting Nestle Consumer Service."	71	77
"nestle"	"nestle_nam"	"The Buxton Mineral Water Company (owned by Nestle) extracts and bottles mineral waters in Buxton."	43	49
"nestle"	"nestle_vrb"	"Ancient castles nestle on lonely hills, the most famous being the magnificent Loarre Castle."	16	22
"nestle"	"nestle_nam"	"In later editions, Nestle began noting the attestation of certain important manuscripts in his apparatus."	19	25
"nestle"	"nestle_vrb"	"There are clumps of palm and fruit trees in which village homesteads nestle."	69	75
"nestle"	"nestle_vrb"	"They then fly into their pods, nestle themselves inside, and retract their heads."	31	37
"nestle"	"nestle_nam"	"In 1933, Shutta was featured on the Nestle Chocolateers program."	36	42
"nestle"	"nestle_nam"	"In 2013, a student won the Nestle Very Best in Youth Award, 1 of 18 winners from around the country."	27	33
"nestle"	"nestle_nam"	"Company also works with global names such as Nestle, Mercedes-Benz, Apple Inc., Samsung, Microsoft and BP."	45	51
"nestle"	"nestle_nam"	"It formed a joint venture with Nestle Skin Health in 2016 whereby Nestle now manages Proactiv."	31	37
"nestle"	"nestle_nam"	"The following season, Petrov won gold at the 2011 Mentor Nestle Nequik Cup, his first international gold medal."	57	63
"nestle"	"nestle_nam"	"He also serves on the boards of GVK, Nestle India and Patni Computers."	37	43
"nestle"	"nestle_nam"	"The town has a Nestle Research & Development factory with a working force of over 500 employees."	15	21
"nestle"	"nestle_nam"	"The Archives debuted in 1974 and were housed in the pantry of an Upper West Side apartment belonging to Nestle."	104	110
"nestle"	"nestle_nam"	"According to a SWOT analysis by Marketline, Beneful is one of Nestle Purina's more significant brands by revenue."	62	68
"nestle"	"nestle_nam"	"Disney also worked with Nestle to create Tarzan themed candies, including a banana-flavored chocolate bar."	24	30
"nestle"	"nestle_nam"	"In 2004, Brock appeared in a Nestle print advertisement while 8 months pregnant with her first child."	29	35
"nestle"	"nestle_nam"	"Russky Produkt's largest international competitors are Nestle, Kraft Foods, Unilever and Mars Incorporated."	55	61
"nestle"	"nestle_vrb"	"Numerous villages nestle in the deep valleys and behind the vineyards along the river banks."	18	24
"nestle"	"nestle_vrb"	"The loggerhead sea turtle is known to nestle here."	38	44
"nestle"	"nestle_nam"	"Community partnerships have been formed with the City of Pasadena, the Junior League of Pasadena, Nestle Corporation, and others."	98	104
"nestle"	"nestle_nam"	"The US-parent company was bought by Nestle in 1985, after which a decline in the facility began."	36	42
"nestle"	"nestle_nam"	"Amongst the major companies operating in the town are Nestle and Agco (Massey Ferguson)."	54	60
"nestle"	"nestle_nam"	"Nestle Japan introduces new oven bake version of the 2-fingered classic and restaurants have used a bit of initiative""."	0	6
"nestle"	"nestle_nam"	"Bestor's orchestra also provided the music for the Nestle Chocolateers program in 1933."	51	57
"nestle"	"nestle_nam"	"Bar One cereal- manufactured by Nestle for the South African market."	32	38
"nestle"	"nestle_vrb"	"The buildings of Apraksin Dvor nestle between Sadovaya Street and the Fontanka River, just southwest of the Alexandrinsky Theatre."	31	37
"nestle"	"nestle_nam"	"The company eventually fell on hard times and the brand names were sold to Nestle in the early 1980s."	75	81
"nestle"	"nestle_nam"	"The milk is collected by various milk reprocessing companies like Nestle, Chaudhry Dairies Limited, Mubarak Dairies."	66	72
"nestle"	"nestle_nam"	"Nestle Waters of North American, completed their bottled water facility in 2016, creating 27 jobs in McBee."	0	6
"nestle"	"nestle_nam"	"Swiss confectioner, Henry Nestle, added milk to his chocolate recipe to reduce the bitterness of the cocoa."	26	32
"nestle"	"nestle_nam"	"When Nestle decided to invest in an intranet, they quickly realized the savings."	5	11
"nestle"	"nestle_nam"	"Before that, he worked for Reebok, Nestle Foods and the E & J Gallo Winery."	35	41
"nestle"	"nestle_nam"	"Paras has also done many commercial ads with MTV, Tata, Nestle Eclairs before his debut in acting."	56	62
"nestle"	"nestle_nam"	"Niagara Falls voted to stop selling bottled water at city facilities, despite last-minute lobbying efforts from Nestle Waters Canada."	112	118
