"homograph"	"wordid"	"sentence"	"start"	"end"
"conscript"	"conscript_nou"	"In addition, Confederate forces suffered from severe demoralization and lost many conscript soldiers during and after the campaign."	82	91
"conscript"	"conscript_nou"	"Having completed the initial part of the service as a conscript, the soldier is placed in the reserve."	54	63
"conscript"	"conscript_nou"	"It was therefore decided to introduce conscript warrant officers(underofficerare)."	38	47
"conscript"	"conscript_nou"	"Simply declining to enlist, if the potential conscript appears likely to avoid the draft through sheer ""luck of the draw""."	45	54
"conscript"	"conscript_nou"	"There were additionally 567 female volunteers in 2010, who pass training on ""conscript-like"" conditions."	77	86
"conscript"	"conscript_nou"	"Those who tried to escape the conscript hunters would be shot."	30	39
"conscript"	"conscript_nou"	"These methods increased resentment within the conscript ranks and lowered morale."	46	55
"conscript"	"conscript_nou"	"The system was called ""conscript obligation"" (Russian: рекрутская повинность)."	23	32
"conscript"	"conscript_nou"	"The FRDF service itself does not differ radically from the standard Finnish conscript service."	76	85
"conscript"	"conscript_nou"	"From this time on till the end of the war, a soldier was simply a machine, a conscript."	77	86
"conscript"	"conscript_nou"	"The earliest immigrants worked as traders, although most of the later settlers worked as fishermen, farmers or conscript labourers."	111	120
"conscript"	"conscript_nou"	"In World War II, with largely conscript armies, there was great emphasis on training."	30	39
"conscript"	"conscript_vrb"	"The Finnish Defense Forces does not conscript women."	36	45
"conscript"	"conscript_nou"	"This is the most common conscript leader rank."	24	33
"conscript"	"conscript_nou"	"In addition to conscript training, the Military Music School trains career musicians of the FDF."	15	24
"conscript"	"conscript_nou"	"The service times are determined so that the conscript leaders are demobilised with the rank and file of that cohort."	45	54
"conscript"	"conscript_nou"	"He was also a conscript officer from 1894, with promotions to Premier Lieutenant in 1902 and Captain in 1911."	14	23
"conscript"	"conscript_nou"	"As predominantly conscript units the Zouaves did not serve in Indochina between 1945 and 1954."	17	26
"conscript"	"conscript_nou"	"He then attended Treider School, studied forestry at Yale University and in Nancy, and also took conscript officer training."	97	106
"conscript"	"conscript_nou"	"Usually each District (regiment) has one or two platoons, consisting exclusively of former regular or conscript military police personnel."	102	111
"conscript"	"conscript_nou"	"After the Armistice, however, domestic opinion turned against foreign involvement, particularly with conscript troops."	101	110
"conscript"	"conscript_nou"	"Professional units were supplemented by disciplined and well-armed conscript forces."	67	76
"conscript"	"conscript_vrb"	"The Soviets immediately conscript the POWs, shooting those who refuse or were too slow to don the Red Army uniform."	24	33
"conscript"	"conscript_vrb"	"Adolf Hitler was reluctant to conscript women to Labor therefore alternatives had to be considered."	30	39
"conscript"	"conscript_nou"	"He is also the founder of the ConScript Unicode Registry, which is maintained by him and Michael Everson."	30	39
"conscript"	"conscript_nou"	"The Malian armed forces were initially formed by Malian conscript and volunteer veterans of the French Armed Forces."	56	65
