"homograph"	"wordid"	"sentence"	"start"	"end"
"correlate"	"correlate_nou-vrb"	"The short story can correlate to real life by the family values of the characters."	20	29
"correlate"	"correlate_nou-vrb"	"Studies have shown that electrostatics dominate interactions in simple systems, and relative binding energies correlate well with electrostatic potential energy."	110	119
"correlate"	"correlate_nou-vrb"	"Several studies indicate that follow-up care for HIV positive women may correlate with a reduction in recidivism."	72	81
"correlate"	"correlate_nou-vrb"	"Large eruptions correlate well with some significant climate change events."	16	25
"correlate"	"correlate_nou-vrb"	"Despite the fact that trans-fatty acids are not saturated, does not correlate to all unsaturated fats lead to CHD."	68	77
"correlate"	"correlate_nou-vrb"	"Lower latitudes correlate with longer life cycles."	16	25
"correlate"	"correlate_nou-vrb"	"Additionally, the types of cognitive changes usually seen to correlate with synaptogenesis revolve around visual, tactile, movement and working memory."	61	70
"correlate"	"correlate_nou"	"The above-mentioned studies allow inferring the neural correlate of the numerical Stroop effect."	55	64
"correlate"	"correlate_nou-vrb"	"Change agents can be viewed as health professionals while opinion leaders correlate with peer educators."	74	83
"correlate"	"correlate_nou-vrb"	"These geographical distributions strongly correlate with the spread of domesticated cattle."	42	51
"correlate"	"correlate_nou-vrb"	"Large nests typically have more queens, so relatedness between individuals could correlate with the size of the nest."	81	90
"correlate"	"correlate_nou-vrb"	"Impaired parental monitoring and negative affect correlate with COAs associating with peers that support drug use."	49	58
"correlate"	"correlate_nou-vrb"	"The report stated that IQ scores measure important skills as they correlate fairly well (0.5) with grades."	66	75
"correlate"	"correlate_nou-vrb"	"Moreover, the fitness function must not only correlate closely with the designer's goal, it must also be computed quickly."	45	54
"correlate"	"correlate_nou-vrb"	"As the three sections evaluate distinct sets of knowledge and skills, scores do not correlate across sections."	84	93
"correlate"	"correlate_nou-vrb"	"This relational technology allowed people to correlate information stored in a primary table and its shadow."	45	54
"correlate"	"correlate_nou-vrb"	"This has been shown to correlate well with experimental results."	23	32
"correlate"	"correlate_nou-vrb"	"In three of the five patients, co-registered PET/MRI correlate areas of relatively preserved brain metabolism with isolated fragments of behavior."	53	62
"correlate"	"correlate_nou-vrb"	"The plasma levels of various steroids significantly increase after masturbation in men and the testosterone levels correlate to those levels."	115	124
"correlate"	"correlate_nou-vrb"	"Pequigney states that the sonnet ""correlate economic and carnal operations, and it abounds in inconsistencies""."	34	43
"correlate"	"correlate_nou-vrb"	"Certain feedback from the players did not correlate with the statistical data obtained from the matches during the beta."	42	51
"correlate"	"correlate_nou-vrb"	"These data also correlate to the duration of moisture and amount of time humidity conditions are above 90 percent."	16	25
"correlate"	"correlate_nou-vrb"	"Nest thickness, nest mass and nest dimensions therefore correlate with the mass of the adult bird."	56	65
"correlate"	"correlate_nou-vrb"	"Early research attempted to correlate weather with limited success, followed by attempts to correlate solar activity with global temperature."	28	37
"correlate"	"correlate_nou-vrb"	"These assessments by historians correlate with the goal Gladden held up for his ministry."	32	41
"correlate"	"correlate_nou-vrb"	"When any of the cues received by the brain do not correlate with the others, motion sickness can occur."	50	59
"correlate"	"correlate_nou"	"IB5k has three divisions: Correlate Analytics, IB5k Interactive & Media, and IB5k Network."	26	35
"correlate"	"correlate_nou-vrb"	"Differences within languages directly correlate to differences in emotion taxonomy."	38	47
"correlate"	"correlate_nou-vrb"	"In melanoma and certain other cancers, the numbers of mutations and neoantigens correlate with patient response."	80	89
"correlate"	"correlate_nou-vrb"	"These abnormal patterns may correlate to areas where there are uncontrolled waste sites."	28	37
"correlate"	"correlate_nou-vrb"	"The amount of walking did not correlate well with the connectivity values indicating that other factors were at play."	30	39
"correlate"	"correlate_nou-vrb"	"When subjected to formal research, symptoms of depression, pain, and gastric dysfunction seem to correlate with mild cases of hypercalcemia."	97	106
"correlate"	"correlate_nou-vrb"	"Warning systems for sandstormsMeteorologists sponsored by the United Nations in Kuwait correlate climate change to the increased frequency of storms."	87	96
"correlate"	"correlate_nou-vrb"	"These findings correlate to the development of trade on the Rhine."	15	24
"correlate"	"correlate_nou"	"Factors such as nutritional intake, age, or other medical conditions are correlate in lesser degrees."	73	82
"correlate"	"correlate_nou-vrb"	"Interglacial periods correlate well with an intensification of the monsoon circulation."	21	30
"correlate"	"correlate_nou-vrb"	"In languages employing register systems, differences in a distinguishing feature correlate relative to the quality of another distinguishing feature."	81	90
"correlate"	"correlate_nou-vrb"	"It has been shown to correlate with a number of other chemical properties."	21	30
"correlate"	"correlate_nou-vrb"	"The easiest way to correlate a meteorite with a parent body is, when the parent body still exists."	19	28
