"homograph"	"wordid"	"sentence"	"start"	"end"
"contract"	"contract_nou"	"Later that year he signed a contract with Columbia Records as a solo artist."	28	36
"contract"	"contract_nou"	"On June 28, 2010, Wolski resigned a two-year contract with the Phoenix Coyotes."	45	53
"contract"	"contract_nou"	"He signed a two-year contract with Pelita Bandung Raya on 26 November 2013."	21	29
"contract"	"contract_nou"	"Maintenance margin A set minimum margin per outstanding futures contract that a customer must maintain in their margin account."	64	72
"contract"	"contract_nou"	"In July 2016, Hans signed a 2-year contract with Bulgarian side Pirin Blagoevgrad."	35	43
"contract"	"contract_nou"	"Needing a veteran infielder, the Reds signed Aurilia to a minor league contract on January 22, 2005."	71	79
"contract"	"contract_nou"	"On 28 April 2010 the project signed a contract with REpower Systems for the turnkey construction of the wind farm."	38	46
"contract"	"contract_nou"	"On 23 December 2009, his contract was mutually terminated."	25	33
"contract"	"contract_nou"	"The second album by Nelson under his contract with Legacy Recordings, it was released on April 16, 2013."	37	45
"contract"	"contract_nou"	"Keenan signed a contract with South Melbourne on 9 December 2009 to play in the upcoming VPL season."	16	24
"contract"	"contract_nou"	"He left the Senators' organization at the end of the contract in 2012."	53	61
"contract"	"contract_nou"	"To make room, Sanders' contract was sold to the Boston Braves for $25,000."	23	31
"contract"	"contract_nou"	"Phillips signed a minor league contract with the Chicago White Sox on January 11, 2008."	31	39
"contract"	"contract_nou"	"So Dawson signed a recording contract with EMI and was now musically based in the UK."	29	37
"contract"	"contract_nou"	"On 31 August 2011, he joined Super League Greece side OFI Crete on a two-year contract."	78	86
"contract"	"contract_nou"	"The deal was concluded the following day, with the player signing a two-year contract."	77	85
"contract"	"contract_vrb"	"The local stations then contract with program distributors and also provide some programming themselves."	24	32
"contract"	"contract_nou"	"In 1917 the company was awarded a contract with the U.S. Army for 100,000 blankets."	34	42
"contract"	"contract_nou"	"He then signed a ROH contract in the ring."	21	29
"contract"	"contract_nou"	"On 16 May 2012, Malone signed a pre contract agreement with Raith Rovers after impressing then manager John McGlynn."	36	44
"contract"	"contract_nou"	"She would not listen to the notary reading out the contract, and refused to sign to the agreement."	51	59
"contract"	"contract_nou"	"On July 20, he agreed to terms on a four-year contract with the team."	46	54
"contract"	"contract_nou"	"Pidgeley sought first-team football, and signed a three-year contract with Millwall in League One on 10 June 2006."	61	69
"contract"	"contract_nou"	"Kresser signed a rookie contract with the Cincinnati Bengals, where he spent his entire three-year NFL career."	24	32
"contract"	"contract_nou"	"Following this he signed with non-league Darlington in June 2011, before his contract was terminated in January 2012."	77	85
"contract"	"contract_nou"	"In 1996, ESPN began a five-year contract with Major League Baseball worth $440 million and about $80 million per year."	32	40
"contract"	"contract_nou"	"The Venice Cup is a biennial world championship contract bridge tournament for national teams of Women."	48	56
"contract"	"contract_nou"	"In 1937, K-2 was ordered from Goodyear as part of a contract that also bought the L-1."	52	60
"contract"	"contract_nou"	"On 7 October 2015 he signed a new contract with Atlético, running until 2018."	34	42
"contract"	"contract_nou"	"The Roman-Dutch lawyers followed these guidelines closely in their definitions of the contract of sale."	86	94
"contract"	"contract_nou"	"As part of Contract 4, the IRT agreed to build a subway line along Nostrand Avenue in Brooklyn."	11	19
"contract"	"contract_nou"	"On 12 December 2012, Gavet signed a 1-year contract with the Wests Tigers starting in 2013."	43	51
"contract"	"contract_nou"	"He cancelled his contract in March 2008."	17	25
"contract"	"contract_nou"	"On March 9, 2017, Shipley signed a two-year contract extension with the Cardinals."	44	52
"contract"	"contract_nou"	"McKie became the Bears full-time starter in 2006 and signed a 5-year contract extension (11/2/06)."	69	77
"contract"	"contract_nou"	"On June, 19, 2016, Bolds returned to Lavrio, renewing his contract for one more year."	58	66
"contract"	"contract_nou"	"However, the Athletics did not tender him a contract by the December 2 deadline and he became a free agent."	44	52
"contract"	"contract_nou"	"Therefore, Francis enjoyed lasting chart success in the US until her contract with MGM Records ran out in 1969."	69	77
"contract"	"contract_nou"	"He stated that he would stay on as president if the owners defined his duties in a contract."	83	91
"contract"	"contract_nou"	"He signed his first professional contract with the club in the summer of 2009, aged 17."	33	41
"contract"	"contract_nou"	"At 14 he signed a contract with the Grill El Caracol Rojo as lead vocalist."	18	26
"contract"	"contract_nou"	"On July 27, 2015, he signed a one-year contract with Valencia Basket of Spain."	39	47
"contract"	"contract_nou"	"On January 6, 2016, the Dodgers re-signed Beachy to a one-year, $1.5 million, major league contract."	91	99
"contract"	"contract_nou"	"It was released by BMG Pacific after Liew's contract was over with them and she had signed to Columbia Records."	44	52
"contract"	"contract_nou"	"Dixon signed a year-long contract with League Two club Bradford City on 31 August 2011."	25	33
"contract"	"contract_nou"	"In 2003, Case was off-screen from February 17 to May 1, during contract negotiations."	63	71
"contract"	"contract_nou"	"Curb Records signed Bomshel to a recording contract."	43	51
"contract"	"contract_nou"	"In June 2007, he signed a 3-year contract with Serie B side AlbinoLeffe on free transfer."	33	41
"contract"	"contract_nou"	"He signed a new two-year contract with Kidderminster in July."	25	33
"contract"	"contract_nou"	"Modern banknotes are printed by contract with De La Rue Currency in Loughton, Essex."	32	40
"contract"	"contract_vrb"	"These zones can expand and contract when neighboring foragers are removed or introduced, respectively."	27	35
"contract"	"contract_nou"	"On 3 July 12, his contract was cancelled by mutual consent despite having one year left on his contract."	95	103
"contract"	"contract_nou"	"Represented comedian Dave Chappelle in various transactions since 2005, including his $60 million contract with Netflix in 2016."	98	106
"contract"	"contract_nou"	"Winfield signed with the Seattle Seahawks on April 17, 2013 to a one-year, $3 million contract."	86	94
"contract"	"contract_nou"	"It was with Browne's assistance that Zevon got a major record contract."	62	70
"contract"	"contract_nou"	"The first traded instrument was a futures contract on the UX Index."	42	50
"contract"	"contract_nou"	"On 11 July 2008, Badu left Berekum Arsenal, signing a one-year loan contract with Asante Kotoko."	68	76
"contract"	"contract_nou"	"Two days later he signed a professional contract with the club."	40	48
"contract"	"contract_nou"	"The brothers wrote in Munroe on a contract as a full partner in their business from 1801 though 1804."	34	42
"contract"	"contract_nou"	"However, US government pressure on the Czech government resulted in the cancellation of this contract."	93	101
"contract"	"contract_nou"	"DISA purchases telecommunications and information technology (IT) products and services for the U.S. military using a variety of contract vehicles."	129	137
"contract"	"contract_nou"	"His contract was subsequently terminated and he remained without a club for the rest of the season."	4	12
"contract"	"contract_nou"	"Demir joined Bursaspor in 2005 and signed a professional contract in 2007."	57	65
