"homograph"	"wordid"	"sentence"	"start"	"end"
"precipitate"	"precipitate_vrb"	"The portion that dissolves in base but does not precipitate with acid is γ cellulose."	48	59
"precipitate"	"precipitate_vrb"	"In some cases a natural disaster (e.g. tsunami, earthquake, massive fire or climate change) may precipitate a collapse."	96	107
"precipitate"	"precipitate_adj-nou"	"The cloudiness is due to the fact that the precipitate particles are very small resulting in Tyndall scattering."	43	54
"precipitate"	"precipitate_adj-nou"	"When alkali is added to solutions of soluble Fe(III) salts, a red-brown gelatinous precipitate forms."	83	94
"precipitate"	"precipitate_adj-nou"	"The precipitate action of the Hospitallers could have caused Richard's whole strategy to unravel."	4	15
"precipitate"	"precipitate_adj-nou"	"For the precipitate, a reagent is added until the precipitate stops forming."	8	19
"precipitate"	"precipitate_vrb"	"By adding a reagent, here ammonia, the calcium will precipitate as calcium oxalate."	52	63
"precipitate"	"precipitate_vrb"	"In the acidic environment of the bog, a chemical reaction forms insoluble iron compounds which precipitate out."	95	106
"precipitate"	"precipitate_adj-nou"	"However, the composition of the precipitate that forms is variable and depends on the chemical and physical conditions used."	32	43
"precipitate"	"precipitate_vrb"	"Most families of dicot contain tannin-free species (tested by their ability to precipitate proteins)."	79	90
"precipitate"	"precipitate_vrb"	"These phosphates precipitate the solids to the bottom of the boiler drum."	17	28
"precipitate"	"precipitate_adj-nou"	"Because of its color, the precipitate of kermesite was used as a coloring agent and in alchemy."	26	37
"precipitate"	"precipitate_vrb"	"The stories and the attention they garnered off campus helped precipitate the resignation of university President Richard Van Horn."	62	73
"precipitate"	"precipitate_adj-nou"	"The precipitate is washed with hot water (5x 10 ml) and dried over CaCl₂."	4	15
"precipitate"	"precipitate_vrb"	"In contrast, many common ions give insoluble salts, e.g. halides precipitate with silver, and sulphate precipitate with barium."	103	114
"precipitate"	"precipitate_vrb"	"He applied a current of electricity to precipitate the salts of various metallic poisons from a prepared solution."	39	50
"precipitate"	"precipitate_vrb"	"Potassium and sodium salt by-products tend to precipitate from solution and can be removed."	46	57
"precipitate"	"precipitate_adj-nou"	"When the reaction occurs in a liquid solution, the solid formed is called the 'precipitate'."	79	90
"precipitate"	"precipitate_vrb"	"Belichick was also accused of maintaining a relationship with former Giants receptionist Sharon Shenocca, which helped precipitate her divorce."	119	130
