"homograph"	"wordid"	"sentence"	"start"	"end"
"syndicate"	"syndicate_nou"	"The Naramata Syndicate also built scows for freight and cargo to assist Skookum and the other ferries."	13	22
"syndicate"	"syndicate_nou"	"In January 2009, the Universal Syndicate announced that Kilpatrick would end this column because of health reasons."	31	40
"syndicate"	"syndicate_nou"	"During 1945, King Features Syndicate attempted to distribute Jane in the United States."	27	36
"syndicate"	"syndicate_vrb"	"It is the first channel to syndicate content from countries such as Pakistan, Ukraine, South Korea and Turkey."	27	36
"syndicate"	"syndicate_nou"	"Dundurn Park predates the syndicate and the other subdivisions."	26	35
"syndicate"	"syndicate_nou"	"Streibel's assistants were Al Bare, Dave Huffine and Frank McNitt, the son of McNaught Syndicate co-founder Virgil McNitt."	87	96
"syndicate"	"syndicate_nou"	"Starr's third novel, Fake I.D., concerns a bouncer's desperate attempts to join a horse-owning syndicate."	95	104
"syndicate"	"syndicate_nou"	"During an investigation, he is attacked by members of a crime syndicate known as the Black Organization."	62	71
"syndicate"	"syndicate_nou"	"One of the main characters of the series; Amadeo is a vengeful and iron-fisted leader of a crime syndicate."	97	106
"syndicate"	"syndicate_nou"	"Jack, however, secretly organized a syndicate that purchased control of the company."	36	45
"syndicate"	"syndicate_nou"	"In 1884, he established the McClure Syndicate, the first U.S. newspaper syndicate, which serialized books."	72	81
"syndicate"	"syndicate_nou"	"Apparently a part of the Scorpio syndicate, she was captured when shot by an unseen hitman."	33	42
"syndicate"	"syndicate_nou"	"This was formalized into a Property Owners' Syndicate, founded on December 21, 1925, and presided upon by Constantin Tamara."	44	53
"syndicate"	"syndicate_nou"	"Sinister Syndicate appears in Marvel Super Hero Squad Online."	9	18
"syndicate"	"syndicate_nou"	"The syndicate ordered Gray to drop the sequence and develop another adventure."	4	13
"syndicate"	"syndicate_nou"	"An alternate version of Mary appeared on a computer page of the lesser members of the Syndicate."	86	95
"syndicate"	"syndicate_nou"	"Though rights to the strip remain with Paws, Inc., it is currently distributed by Universal Press Syndicate."	98	107
"syndicate"	"syndicate_nou"	"Initially distributed by Publishers Syndicate (Publishers-Hall Syndicate), and then by Field Enterprises, it ended at King Features Syndicate."	36	45
"syndicate"	"syndicate_nou"	"Spit Syndicate are an ARIA Award-nominated Australian hip hop duo based in Sydney, Australia."	5	14
"syndicate"	"syndicate_nou"	"The syndicate distributed both Montague's poems and light fiction pieces, all under his own copyright."	4	13
"syndicate"	"syndicate_nou"	"As such, humanity was spared immediate invasion, and The Syndicate began negotiations with the Colonists."	57	66
"syndicate"	"syndicate_nou"	"At the end of the year she was sold to a Japanese breeding syndicate and exported to Japan."	59	68
"syndicate"	"syndicate_nou"	"He launched Aggie Mack with the Chicago Tribune Syndicate in 1946."	48	57
"syndicate"	"syndicate_nou"	"Caplin, acting as Myers' business manager, submitted these to the Chicago Tribune Syndicate."	82	91
