"homograph"	"wordid"	"sentence"	"start"	"end"
"estimate"	"estimate_nou"	"According to a 2002 estimate by the INEI, the district has 12,789 inhabitants and a population density of 277.7 persons/km²."	20	28
"estimate"	"estimate_nou"	"One estimate is that between 10,000 and 20,000 people were killed; another 200,000 people were forced to flee their homes."	4	12
"estimate"	"estimate_nou"	"His CBE and four-bar Polar Medal sold for £132,000 in September 2009, more than double the estimate."	92	100
"estimate"	"estimate_nou"	"This estimate was reinforced in the early 1970s."	5	13
"estimate"	"estimate_vrb"	"Archaeologists estimate that it had been founded in the late 1400s on the site of iron and copper ore deposits."	15	23
"estimate"	"estimate_nou"	"Statistics Canada's estimate of the Winnipeg CMA population as of 1 July 2016 is 811,874."	20	28
"estimate"	"estimate_nou"	"The population estimate of Sindh ibex in kirthar national park is around 13,000."	15	23
"estimate"	"estimate_nou"	"The Board of Estimate meets every Tuesday after the city council's Wednesday legislative session."	13	21
"estimate"	"estimate_vrb"	"Michael Hudson and Adair Turner estimate that about 80 percent of credit finances real estate purchases, mostly land."	32	40
"estimate"	"estimate_nou"	"That Full Tilt and Pokerstars accepted a total of $500 million in total player deposits is a conservative estimate."	106	114
"estimate"	"estimate_nou"	"At age 29, the magazine of the Chartered Institute of Management Accountants mentioned an estimate of £40 million in 2004."	90	98
"estimate"	"estimate_nou"	"Between 98 and 114 Egyptian aircraft were shot down, though a Soviet estimate notes air losses of 60."	69	77
"estimate"	"estimate_nou"	"The free-fall time is a very useful estimate of the relevant timescale for a number of astrophysical processes."	36	44
"estimate"	"estimate_nou"	"Chiweta has an estimate population of 45,000 people."	15	23
"estimate"	"estimate_nou"	"An early historical estimate of the Muslim population of the then Qing Empire belongs to the Christian missionary Marshall Broomhall."	20	28
"estimate"	"estimate_nou"	"The estimate is for a copy in very good to fine condition in a like dustjacket."	4	12
"estimate"	"estimate_nou"	"It has the second highest population estimate of any area of Tamworth, with over six thousand people in 2011."	37	45
"estimate"	"estimate_vrb"	"Analysts estimate that a price of $30 to $40 per barrel is required to make new oil sands production profitable."	9	17
"estimate"	"estimate_vrb"	"Scholars estimate that in ancient Rome an adult consumed a liter of wine daily."	9	17
"estimate"	"estimate_nou"	"The population of the district according to a 2011 estimate was 1,176,969."	51	59
"estimate"	"estimate_nou"	"The author presents casualty figures from a wide variety of sources and provides his best estimate."	90	98
"estimate"	"estimate_vrb"	"Player Games is a statistic used to estimate the number of games a player is responsible for."	36	44
"estimate"	"estimate_nou"	"Modern historians find the latter estimate to be the most credible."	34	42
"estimate"	"estimate_vrb"	"Most encyclopedias and similar sources estimate between 5 and 6 million Baha'is in the world in the early 21st century."	39	47
"estimate"	"estimate_nou"	"This estimate predicts enhancement of the reflectivity at the reduction of period."	5	13
"estimate"	"estimate_nou"	"Estimate remained in training as a five-year-old, with the Gold Cup as her objective."	0	8
"estimate"	"estimate_nou"	"The estimate of the World Romani Union and the Council of Europe is considerably higher (around 400,000)."	4	12
"estimate"	"estimate_nou"	"This estimate was given about a 50% chance of being correct."	5	13
"estimate"	"estimate_nou"	"The 2011 American Community Survey (ACS) estimate found 470,341 Americans with full or partial Iranian ancestry."	41	49
"estimate"	"estimate_nou"	"The simple estimate of cardinality obtained using the algorithm above has the disadvantage of a large variance."	11	19
"estimate"	"estimate_vrb"	"He also collaborated with IPCC to develop methodologies to estimate greenhouse gas emissions."	59	67
"estimate"	"estimate_nou"	"The U.S. census 2015 county population estimate is 245,671."	39	47
"estimate"	"estimate_vrb"	"In modern scholarship, researchers estimate 597 Mexicans were lynched between 1848 and 1928."	35	43
"estimate"	"estimate_nou"	"The Washington State Office of Financial Management's 2015 estimate placed the population at 13,607."	59	67
"estimate"	"estimate_vrb"	"Bulgarian researchers estimate that 12,000 Banat Bulgarians live in Romania and 3,000 in Serbia."	22	30
"estimate"	"estimate_nou"	"This estimate was developed by averaging selected estimates — an unorthodox methodology."	5	13
"estimate"	"estimate_nou"	"The government of Bavaria regards this estimate as too low, mainly because it does not include electrification."	39	47
"estimate"	"estimate_nou"	"Their estimate includes victims of sexual abuse in addition to men who regularly or voluntarily have sex with men."	6	14
"estimate"	"estimate_nou"	"The population was 20,547 in 2015 according to a US Census Estimate."	59	67
"estimate"	"estimate_nou"	"As of 2011 the best estimate is 0.5600 obtained by Shevtsova (2010)."	20	28
