"homograph"	"wordid"	"sentence"	"start"	"end"
"export"	"export_nou"	"This opened up their export potential, and markets soon developed in places as far-flung as Cuba and Mexico."	21	27
"export"	"export_nou"	"Dortmunder Export is a local pale lager beer speciality brewed in Dortmund."	11	17
"export"	"export_nou"	"In 1999 a new law on export control was passed by the parliament drafted with direct participation of V.L. Malkevich."	21	27
"export"	"export_nou"	"Its 'Agricultural Revival Programme' has identified many thousands of hectares of land as suitable for new oil palm export plantations."	116	122
"export"	"export_nou"	"He emigrated to the US in 1970 and ran an export business, selling golf balls to Japan."	42	48
"export"	"export_nou"	"It originated in the First World War, as Navy blockades made the import (and export) of movies impossible."	77	83
"export"	"export_nou"	"The energy, the material that's involved in this, doesn't just escape the community as an export."	90	96
"export"	"export_vrb"	"Export the transition rewards matrix to a fileNOTE: The ""transition rewards"" are what we refer to as ""impulse rewards""."	0	6
"export"	"export_nou"	"He is also the chairman of the Export University National Oversight Committee."	31	37
"export"	"export_nou"	"By 2014 the RMG industry represented 81.13 percent of Bangladesh's total export."	73	79
"export"	"export_nou"	"The nation depended on the export of wool, mutton, wheat and minerals."	27	33
"export"	"export_nou"	"Later, the planning of export was undertaken as a corollary to the Departments control of transport priorities also."	23	29
"export"	"export_nou"	"V. D. Swami and Company are pioneers in the steel export business."	50	56
"export"	"export_vrb"	"He restored the freedom to export agricultural products, while restricting imports of dairy products."	27	33
"export"	"export_vrb"	"Eskom, however, announced on 20 January 2008 that it had ceased to export power."	67	73
"export"	"export_nou"	"He started his own export-import company at age 28."	19	25
"export"	"export_nou"	"Around one third is produced for export, with the Nordic region as the principal market."	33	39
"export"	"export_nou"	"Export subsidy as such can become a self-defeating and disruptive policy."	0	6
"export"	"export_nou"	"The government's colonial policy of export restrictions however, did not change."	36	42
"export"	"export_nou"	"This model has 125 PS (92 kW), for export."	35	41
"export"	"export_nou"	"It is also the member of Export Alabama Alliance."	25	31
"export"	"export_nou"	"The invariant chain also facilitates MHC class II's export from the ER in a vesicle."	52	58
"export"	"export_nou"	"In addition, scarcity in the global economy complicated import and export activity."	67	73
"export"	"export_nou"	"The XA-188 is originally a Dutch export version of the APC."	33	39
"export"	"export_nou"	"The CM-400AKG is an air-launched supersonic surface attack cruise missile, believed to be the export version of the YJ-12."	94	100
"export"	"export_nou"	"This gave the President the power to ""regulate the distribution, export, import, purchase and storage of food."""	65	71
"export"	"export_nou"	"Active in both the farmers' community and the National Party, he worked mainly in the export business to West Africa."	86	92
"export"	"export_vrb"	"The country consumes most of its oil output but does export some crude oil and oil products."	53	59
"export"	"export_nou"	"Thermal Coal, Timber Logs, Petroleum Products, LPG and various other bulk, break bulk and containerized cargoes and export cargoes viz."	116	122
"export"	"export_nou"	"Beginning in February 1980 a 2.2-litre diesel engine was also available, sold in export as the E2200."	81	87
"export"	"export_nou"	"The firm's business of import, export, and general agency made it one of the most prosperous in Pennsylvania."	31	37
"export"	"export_nou"	"The Japanese export had two bonus tracks, ""Bu Gece"" (Kir Zincirlerini) Club Remix and ""Simarik"" (Malagutti Remix)."	13	19
"export"	"export_nou"	"Pages can also export documents into a number of formats; formatting is generally retained during the export process."	102	108
"export"	"export_nou"	"Export markets, www.elevenhundred.com Retrieved on 29 September 2013Morris Marina at www.elevenhundred.com Retrieved on 25 March 2012Adams, Keith (2005)."	0	6
"export"	"export_nou"	"The HCOC does not ban ballistic missiles, but it does call for restraint in their production, testing, and export."	107	113
"export"	"export_vrb"	"These Tiles are export to Fareast, Europe, Australia, Africa and as close as Middle Eastern Countries."	16	22
"export"	"export_nou"	"The licence was not renewed in 2004, though production of bicycles for export continued for another year."	71	77
"export"	"export_nou"	"American Mail and Export Journal; July 1886; p17."	18	24
"export"	"export_nou"	"They are part of a delegation that is going to ratify one of Britain's biggest ever export orders."	84	90
"export"	"export_nou"	"It also helps boost export business volumes and revenues."	20	26
"export"	"export_nou"	"Australia's main seafood export earners include rock lobsters, prawns, tuna and abalone."	25	31
"export"	"export_nou"	"Alexander Thomas Kingdom Grant, CMG, Under-Secretary, Export Credits Guarantee Department."	54	60
