"homograph"	"wordid"	"sentence"	"start"	"end"
"conduct"	"conduct_vrb"	"Vandegrift, therefore, decided to conduct a series of small unit operations around the Matanikau Valley."	34	41
"conduct"	"conduct_vrb"	"The devotees should conduct fast and remain in the temple on the previous day."	20	27
"conduct"	"conduct_vrb"	"The Think Tank features several interactive displays that teach visitors how zoologists conduct their studies."	88	95
"conduct"	"conduct_nou"	"But, it retains state regulatory jurisdiction regarding: (1) consumer protection and market conduct, and (2) state disciplinary authority."	92	99
"conduct"	"conduct_nou"	"Joseph Ledbetter was arrested on several occasions spanning from 2011 to 2014 for public intoxication, resisting arrest, and disorderly conduct."	136	143
"conduct"	"conduct_vrb"	"They conduct nearly all marriage ceremonies among the giants, even those involving evil giants and priests of evil deities."	5	12
"conduct"	"conduct_nou"	"While also a popular society figure in Richmond, bishop Gibson became known for his simplicity, sincerity and reverent conduct."	119	126
"conduct"	"conduct_nou"	"Their conduct, however, was sufficiently linked to their employment as policemen, particularly when viewed against the background of the Constitution."	6	13
"conduct"	"conduct_nou"	"During the voyage he wrote a defence of his conduct The State of Bengal and presented it to Henry Dundas."	44	51
"conduct"	"conduct_nou"	"Awards were announced for the Star of Courage, the Bravery Medal, Commendation for Brave Conduct and Group Bravery Citation."	89	96
"conduct"	"conduct_nou"	"Zero for Conduct was shot from December 1932 until January 1933 with a budget of 200,000 francs."	9	16
"conduct"	"conduct_vrb"	"The entity to conduct this $1.6 billion project is named the San Francisco Bay Area Water Emergency Transportation Authority."	14	21
"conduct"	"conduct_nou"	"He also arranged a Safe conduct to visit the captive King David."	24	31
"conduct"	"conduct_nou"	"Therefore, for those men in ""striped shirts"", hunting butterflies became the prize for good conduct."	92	99
"conduct"	"conduct_nou"	"The stick was deemed illegal and McSorley was given a two-minute minor penalty for unsportsmanlike conduct."	99	106
"conduct"	"conduct_vrb"	"The Government of Mysore used to send its scholars to conduct Kannada exams which the Sangha used to hold periodically."	54	61
"conduct"	"conduct_vrb"	"Once John Kerry became Secretary of State, speculation began on whether the department would conduct a second QDDR review."	93	100
"conduct"	"conduct_vrb"	"By 1945 the allies had gained nearly complete air superiority, allowing the 48th to conduct its missions at will."	84	91
"conduct"	"conduct_vrb"	"Astaire admitted that he was attracted to the film by the opportunity to ""dance-conduct this real swingin' outfit""."	80	87
"conduct"	"conduct_nou"	"The conduct of the Civil War resulted in long-lasting bitterness on both sides."	4	11
"conduct"	"conduct_vrb"	"He tested the site but did not conduct any excavations due to negative results."	31	38
"conduct"	"conduct_nou"	"That conduct should give pause to any financial institution or business still choosing to deal with Iran."""	5	12
"conduct"	"conduct_vrb"	"For his part, Kondo found it ""mesmerizing"" to watch Choi conduct."	57	64
