"homograph"	"wordid"	"sentence"	"start"	"end"
"diffuse"	"diffuse_adj"	"Higher density regions of the interstellar medium form clouds, or diffuse nebulae, where star formation takes place."	66	73
"diffuse"	"diffuse_adj"	"L. mexicana can induce the cutaneous and diffuse cutaneous clinical manifestations in humans."	41	48
"diffuse"	"diffuse_adj"	"Tiny, diffuse metastases that often coincide with cancers are usually not affected by cryotherapy."	6	13
"diffuse"	"diffuse_adj"	"The markings are ochreous, very diffuse and poorly defined."	32	39
"diffuse"	"diffuse_adj"	"It also allows for very narrow depth-of-field and diffuse bokeh."	50	57
"diffuse"	"diffuse_adj"	"The transverse pale bands on both wings are broad and diffuse."	54	61
"diffuse"	"diffuse_vrb"	"Loose-textured tissue allows red blood cells released from damaged vessles to diffuse through the necrotic tissue."	78	85
"diffuse"	"diffuse_adj"	"The nebulous galaxy features a bright central bulge and diffuse arms with distinct star-forming regions."	56	63
"diffuse"	"diffuse_vrb"	"Should the ""C"" team no longer be able to function, administrative control of the agency could diffuse to regional offices."	94	101
"diffuse"	"diffuse_adj"	"On the lower floors, Shinsu is diffuse and inconspicuous, similar to air."	31	38
"diffuse"	"diffuse_adj"	"Her glass plates benefitted from her careful use of diffuse artificial light."	52	59
"diffuse"	"diffuse_adj"	"The ground colour of the forewings is pearl creamy with glossy diffuse lines along the markings and pale ochreous suffusions."	63	70
"diffuse"	"diffuse_adj"	"Intellect/intuition, analytic/holistic, convergent/divergent, abstract/concrete, focal/diffuse, objective/subjective, etc."	87	94
"diffuse"	"diffuse_adj"	"Radiosity was perhaps the first rendering algorithm in widespread use which accounted for diffuse indirect lighting."	90	97
"diffuse"	"diffuse_vrb"	"The water that leaves the cells is eventually frozen, causing more water to diffuse out of the cell."	76	83
"diffuse"	"diffuse_adj"	"For this, they coined the term diffuse element method (DEM)."	31	38
"diffuse"	"diffuse_adj"	"Gamma rays cause damage at a cellular level and are penetrating, causing diffuse damage throughout the body."	73	80
"diffuse"	"diffuse_adj"	"As the body ages, melanocyte distribution becomes less diffuse and its regulation less controlled by the body."	55	62
