"homograph"	"wordid"	"sentence"	"start"	"end"
"transplant"	"transplant_nou"	"Once the classical symptoms appear, the best way to eliminate the dangers of Alagille syndrome is a full liver transplant."	111	121
"transplant"	"transplant_nou"	"Shumway conducted the first adult heart transplant in the US in 1968."	40	50
"transplant"	"transplant_nou"	"Although the Bass and Tingey were from different classes of destroyers, the transplant was a success."	76	86
"transplant"	"transplant_nou"	"When he was used to do a transplant, he lived on as Yuri Babanin."	25	35
"transplant"	"transplant_nou"	"As their time on the Destiny lengthens, TJ begins performing increasingly complicated medical procedures, including a kidney transplant."	125	135
"transplant"	"transplant_vrb"	"Back at his lab, Walters and his assistant Miss Strand (Fay Helm) transplant glandular material from Dorothy into Cheela."	66	76
"transplant"	"transplant_nou"	"Woodruff principally studied transplant rejection and immunosuppression."	29	39
"transplant"	"transplant_nou"	"The Transplant Ethics Committee must approve living donor kidney transplants."	4	14
"transplant"	"transplant_nou"	"The transplant was successful, but David wanted $10,000,000 before he agreed to the transplant."	84	94
"transplant"	"transplant_nou"	"In renal transplant recipients, such cells may be found in up to 40 percent of cases."	9	19
"transplant"	"transplant_nou"	"Channel 7 televised the first kidney transplant in the mid-1960s."	37	47
"transplant"	"transplant_nou"	"On Earth, he can easily get a transplant to replace his missing arm."	30	40
"transplant"	"transplant_nou"	"The process of somatic cell nuclear transplant involves two different cells."	36	46
"transplant"	"transplant_nou"	"He was head of the organ transplant section between 1966 and 1968."	25	35
"transplant"	"transplant_nou"	"Out of those millions in the world, 16,500 in the United States needed a kidney transplant in 2008."	80	90
"transplant"	"transplant_nou"	"He was part of the team that performed the first successful kidney transplant."	67	77
"transplant"	"transplant_vrb"	"Ruby and the Headmen then fought the Heroes for Hire while attempting to transplant Chondu's head onto Humbug's body."	73	83
"transplant"	"transplant_nou"	"Instead, their solution to the problem was to keep transplant prices as high as the market would allow."	51	61
"transplant"	"transplant_vrb"	"Reading about the condition of German immigrants in the United States, Wimmer took steps to transplant Benedictine missions there."	92	102
"transplant"	"transplant_nou"	"The virus remained undetectable over three years after the first transplant."	65	75
"transplant"	"transplant_nou"	"In case of life-threatening diseases, bone marrow transplant may be attempted."	50	60
"transplant"	"transplant_nou"	"Medical advances included the first human hand transplant in the United States and the first self-contained artificial heart transplant."	125	135
"transplant"	"transplant_nou"	"It is the first hospital in Gujarat to have completed a heart transplant under the leadership of Dr. Dhiren Shah."	62	72
"transplant"	"transplant_nou"	"Over the past 21 years Dr Farjo has performed over 6500 transplant procedures and given over 25,000 consultations."	56	66
"transplant"	"transplant_nou"	"Cigna's reversal of its policy, offering to pay for the transplant, came several hours before Sarkisyan's death."	56	66
"transplant"	"transplant_nou"	"He began studies of allergies in 1948, and discovered the Ir (immune response) genes that govern transplant rejection (1960s)."	97	107
"transplant"	"transplant_nou"	"Terasaki established UCLA's HLA laboratory, and also established the UCLA Kidney Transplant Registry, the largest in the world."	81	91
"transplant"	"transplant_nou"	"Two years after the transplant, Enzo comes back to the Philippines and meets Bianca."	20	30
"transplant"	"transplant_nou"	"He performed the world's first Fallopian tubal transplant in 1979 but this technology was then superseded by in vitro fertilisation."	47	57
"transplant"	"transplant_nou"	"In absence of a liver transplant, the MSUD diet must be adhered to strictly and permanently."	22	32
"transplant"	"transplant_nou"	"BAFF has been found in renal transplant biopsies with acute rejection and correlate with appearance C4d."	29	39
"transplant"	"transplant_nou"	"Further more, the professional organization ""ROMTRANSPLANT"" plays a key role, scientific and organizational, in the development of Romanian transplant."	140	150
"transplant"	"transplant_nou"	"Robert and Kitty renew their vows before her bone marrow transplant."	57	67
