"homograph"	"wordid"	"sentence"	"start"	"end"
"supplement"	"supplement_vrb"	"It will supplement the Russian-built Elektron system operating in the Zvezda module."	8	18
"supplement"	"supplement_nou"	"Liddell Hart Centre for Military ArchivesThe London Gazette: (Supplement) no."	62	72
"supplement"	"supplement_vrb"	"To supplement his income, Schwarzer began making erotic photos which were used on naughty postcards common to the era."	3	13
"supplement"	"supplement_nou"	"The Tome and Blood supplement introduced the stirge familiar for use as a wizard's familiar."	19	29
"supplement"	"supplement_nou"	"Elves is a supplement for fantasy role-playing games published by Mayfair Games in 1983."	11	21
"supplement"	"supplement_vrb"	"To supplement the income from his farm, Partridge also sold life insurance."	3	13
"supplement"	"supplement_nou"	"He was introduced in the Races of Stone supplement book."	40	50
"supplement"	"supplement_nou"	"The supplement is not collected on other trains on the route."	4	14
"supplement"	"supplement_nou"	"Before the 2004 reformulation, formulations contained ephedra, a supplement banned by the FDA in 2004."	65	75
"supplement"	"supplement_nou"	"Muslim protestors agitated against the supplement and the newspaper and staged a Rail-Roko at Mumbai Central railway station."	39	49
"supplement"	"supplement_nou"	"In 2010, State Mutual developed a secure, Internet-based application system for obtaining a Medicare supplement plan."	101	111
"supplement"	"supplement_nou"	"It included with its new entries material from both the original volume and the supplement."	80	90
"supplement"	"supplement_nou"	"In May, 1998, Gobar Times was first published as a supplement to DTE."	51	61
"supplement"	"supplement_nou"	"It is the only one of the sixteen works in the 1700 supplement to still be sung today."	52	62
"supplement"	"supplement_nou"	"Jamestown Area School District received a $399,574 supplement for special education services in 2010."	51	61
"supplement"	"supplement_vrb"	"It should be rather used to support non-repudiation or to supplement more traditional services concerning paperless document environments."	58	68
"supplement"	"supplement_nou"	"Neil Philip in the Times Literary Supplement called Eva ""one of the better books of a first-rate writer."	34	44
"supplement"	"supplement_nou"	"This was in a review of a supplement by Dugald Stewart to the Encyclopaedia Britannica."	26	36
"supplement"	"supplement_nou"	"Reading School District received a $9,265,619 supplement for special education services in 2010."	46	56
"supplement"	"supplement_nou"	"Southern Fulton School District received a $462,766 supplement for special education services in 2010."	52	62
"supplement"	"supplement_vrb"	"Grants can provide an opportunity to supplement school funding without raising local taxes."	37	47
