"homograph"	"wordid"	"sentence"	"start"	"end"
"analyses"	"analyses_nou"	"These visualization tools are often used to complement quantitative information gathered during wide-beam analyses."	106	114
"analyses"	"analyses_nou"	"Because these analyses are based on statistics and probability, it is important not to over-interpret the results."	14	22
"analyses"	"analyses_vrb"	"Lafcadio Hearn's essay Butterflies analyses the treatment of the butterfly in Japanese literature, both prose and poetry."	35	43
"analyses"	"analyses_nou"	"Genetic Y-DNA analyses in the 2000s have established a partially Middle-Eastern origin for a portion of the male Lemba population."	14	22
"analyses"	"analyses_nou"	"His astute analyses, penetrating interventions, iconoclastic style, and enigmatic personality left an indelible imprint on all who encountered him."	11	19
"analyses"	"analyses_nou"	"We present some analyses of his contributions as reviewed by others in academic journals."	16	24
"analyses"	"analyses_nou"	"Analyses of modern Europeans suggest that no mitochondrial DNA (direct maternal line) originating with Neanderthals has survived into modern times."	0	8
"analyses"	"analyses_vrb"	"She is also a host for the weekly programme Inside Syria, that analyses recent developments in the war-torn country."	63	71
"analyses"	"analyses_nou"	"Viewshed analyses are also used to locate fire observation stations in mountain areas (Lee and Stucky, 1998)."	9	17
"analyses"	"analyses_nou"	"All of Hubbert's analyses of peak oil specifically excluded oil manufactured from oil shale or mined from oil sands."	17	25
"analyses"	"analyses_nou"	"Phylogenetic analyses have however shown that species in the Salamandridae traditionally called newts do form a monophyletic group."	13	21
"analyses"	"analyses_nou"	"The genetic distance is slight and the species form a close-knit and somewhat paraphyletic group in DNA sequence analyses."	113	121
"analyses"	"analyses_nou"	"MEGA is a modular system, too, but places greater emphasis on ease-of-use than customization of analyses."	96	104
"analyses"	"analyses_nou"	"In some phylogenetic analyses, it is placed closer to the clade Neosuchia, which includes modern crocodilians."	21	29
"analyses"	"analyses_nou"	"The only cladistic analyses for bacteria based on classical evidence largely corroborate Gupta's results (see comprehensive mega-taxonomy)."	19	27
"analyses"	"analyses_nou"	"Procedures perform analysis and reporting on data sets to produce statistics, analyses and graphics."	78	86
"analyses"	"analyses_nou"	"Meta-analyses of multiple genome-wide association studies has suggested an association of SNPs in the ETS1locus with psoriasis in European populations."	5	13
"analyses"	"analyses_vrb"	"The organization's research team analyses financial regulation and formulates policy recommendations."	33	41
"analyses"	"analyses_nou"	"Cost analyses have shown GreenLight to be less costly than traditional surgery."	5	13
"analyses"	"analyses_vrb"	"Organisation expert Catherine Nicholson analyses the contestants through psychometric tests and the contents of their handbags."	40	48
"analyses"	"analyses_nou"	"Among other things, social network analyses are now applied to political, professional, military, and other closely attended subject matters."	35	43
"analyses"	"analyses_nou"	"But mtDNA sequence analyses indicate, for example, the dabbling and diving ducks do not belong in the same subfamily."	19	27
"analyses"	"analyses_nou"	"DNA sequence analyses of restriction enzymes however show great variations, indicating that there are more than four types."	13	21
"analyses"	"analyses_vrb"	"The microphones detect pitch using digital signal processing, which analyses the frequency of the incoming signal via Fast Fourier transform."	68	76
"analyses"	"analyses_nou"	"This was followed up with legislation for the mandatory inspection of water quality, including comprehensive chemical analyses, in 1858."	118	126
"analyses"	"analyses_nou"	"Rational analyses began to replace empiricism in the 20th century, while governmental agencies began their own hydrological research programs."	9	17
"analyses"	"analyses_nou"	"The ABRP also collects fecal samples for genetic, hormonal, and intestinal bacterial analyses."	85	93
"analyses"	"analyses_vrb"	"An art critic always analyses a situation from a profoundly limited point of view because his knowledge is also limited."	21	29
"analyses"	"analyses_nou"	"Chemical and lead isotopic analyses revealed metals from multiple sources, from Africa to Iran."	27	35
"analyses"	"analyses_nou"	"Further examining the data set in secondary analyses, to suggest new hypotheses for future study."	44	52
"analyses"	"analyses_nou"	"He currently serves as trustee emeritus of Institute for Defense Analyses."	65	73
"analyses"	"analyses_nou"	"The pronunciation of syllable-final ch and nh in Hanoi Vietnamese has had different analyses."	84	92
"analyses"	"analyses_nou"	"Despite its importance in the language, the tonal analyses of Mixtec have been many and quite different one from another."	50	58
"analyses"	"analyses_nou"	"Nonformalized analyses, apart from musical and analytical terms, do not use resources or techniques other than language."	14	22
"analyses"	"analyses_nou"	"His analyses suggest a phylogeny that is rather different from previous taxonomic arrangements."	4	12
"analyses"	"analyses_nou"	"The contributors conclude their analyses with specific practical suggestions to implement in the future."	32	40
"analyses"	"analyses_nou"	"Analyses of the hydrate showed both Structure-I and Structure-II gas hydrate present in the recovered sample."	0	8
"analyses"	"analyses_nou"	"Recent phylogenetic analyses confirmed that Bruktererpeton is a sister taxon of the better known genus Gephyrostegus."	20	28
"analyses"	"analyses_nou"	"Since developing AMOVA, Excoffier has written a program for running such analyses."	73	81
"analyses"	"analyses_nou"	"Using similarity analyses to scaling out research."	17	25
"analyses"	"analyses_nou"	"Technical analyses of the 1959 incident have produced contrasting conclusions regarding the types and quantities of radioactive materials released."	10	18
"analyses"	"analyses_vrb"	"He analyses ""Indian resistance--as it occurs in art, cultural practice, and activist struggle."	3	11
"analyses"	"analyses_vrb"	"The Fingerprint Bureau analyses fingerprints and palmprints, feeds them into national databases and collates the results."	23	31
"analyses"	"analyses_nou"	"Thus morphological analyses are not able to uncover realistic phylogenetical relationships neither appropriate taxonomy."	19	27
"analyses"	"analyses_nou"	"The analyses are derived from the simple, steady-state analysis of Wooding (1968)."	4	12
"analyses"	"analyses_nou"	"Conventional monetary analyses are unable to detect or deal with these sorts of ecological problems."	22	30
"analyses"	"analyses_vrb"	"This book analyses their efforts using modern project management methods."	10	18
"analyses"	"analyses_nou"	"Other analyses indicate a spectrum or continuum of activity states."	6	14
"analyses"	"analyses_nou"	"Several interrupted time series analyses assessing SORN have been completed in recent years."	32	40
"analyses"	"analyses_vrb"	"George Perle (1990) analyses the piece both harmonically and motivically, and describes its background structure."	20	28
"analyses"	"analyses_nou"	"For example, meta-analyses found intelligence and height to benefit both leader performance and leader emergence."	18	26
"analyses"	"analyses_nou"	"Several computer analyses of the text have been done to determine whether there were multiple authors."	17	25
"analyses"	"analyses_nou"	"Such analyses bring out the civilian police role in counterterrorism next to the military model of a 'war on terror'."	5	13
"analyses"	"analyses_nou"	"Representations of factors of separate analyses of the different groups."	39	47
"analyses"	"analyses_nou"	"Molecular analyses have confirmed their identity as separate species and breeding experiments have shown that they do not produce hybrids."	10	18
"analyses"	"analyses_nou"	"They are periodic analyses of trends in state and local government spending and taxes."	18	26
"analyses"	"analyses_nou"	"More than a specific calculation method, PME encompasses a number of different analyses sharing the same objective."	79	87
"analyses"	"analyses_nou"	"The N-curve can be used in a number of different traffic analyses, including freeway bottlenecks and dynamic traffic assignment."	57	65
"analyses"	"analyses_nou"	"The filling of the gaps and correction of inadequate analyses in introductory and intermediate textbooks on the princinples of economics."	53	61
"analyses"	"analyses_nou"	"Comparative genopic analyses have uncovered that the baiji have a slow molecular clock and molecular adaptations to their aquatic environment."	20	28
"analyses"	"analyses_nou"	"The retraction notices generally state that the results of the analyses described in the articles could not be reproduced."	63	71
"analyses"	"analyses_nou"	"Phylogenetic analyses demonstrates a common ancestry with Thottapalayam virus suggesting early evolutionary divergence."	13	21
"analyses"	"analyses_nou"	"Various elemental analyses of diamond reveal a wide range of impurities."	18	26
"analyses"	"analyses_nou"	"In the 1960s at UCLA, Dixon developed BMDP, a statistical software package for biomedical analyses."	90	98
"analyses"	"analyses_nou"	"Nattiez distinguishes between nonformalized and formalized analyses."	59	67
"analyses"	"analyses_nou"	"Cladistic analyses recover it close to Anchiceratops."	10	18
"analyses"	"analyses_nou"	"Burkenroad's primary division of Decapoda into Dendrobranchiata and Pleocyemata has since been corroborated by molecular analyses."	121	129
"analyses"	"analyses_nou"	"Most phylogenetic analyses (analyses of evolutionary relationships) place pristichampsids in a basal position within Crocodylia."	18	26
"analyses"	"analyses_nou"	"It is a method-appropriate strategy of founding the credibility of qualitative analyses."	79	87
"analyses"	"analyses_nou"	"Nonetheless, labeling and tools within data systems to assist analyses are uncommon, even though most educators analyze data alone."	62	70
"analyses"	"analyses_nou"	"Recognized for its in-depth technical analyses, the journal also reported on industry confabs and included some lighter fare."	38	46
