"homograph"	"wordid"	"sentence"	"start"	"end"
"postulate"	"postulate_nou"	"The phrase ""single postulate"" is just used in comparison with the original ""two postulate"" formulation."	19	28
"postulate"	"postulate_vrb"	"Ethnopluralism claims to postulate no intrinsic hierarchy between peoples but regards them as worthy of preservation and threatened by 'amalgamation'."	25	34
"postulate"	"postulate_nou"	"In all approaches, however, there is an axiom which is logically equivalent to Euclid's fifth postulate, the parallel postulate."	118	127
"postulate"	"postulate_nou"	"The logic postulate: Two truths cannot contradict each other."	10	19
"postulate"	"postulate_nou"	"Another postulate; the wavefunction collapse postulate, counters the usual idea of a measurement in science."	8	17
"postulate"	"postulate_nou"	"According to Hammond's postulate, the more stable diastereomer is formed faster."	23	32
"postulate"	"postulate_vrb"	"Call the resulting minimalist mereological theory M.If x is part of y, we postulate that y encloses x:C3."	74	83
"postulate"	"postulate_nou"	"Postulate 7: This postulate contains two main concepts."	18	27
"postulate"	"postulate_nou"	"Lobachevsky would instead develop a geometry in which the fifth postulate was not true."	64	73
"postulate"	"postulate_nou"	"The postulate period lasts from six to nine months and the novitiate period from one year to eighteen months."	4	13
"postulate"	"postulate_nou"	"Hammond's postulate is sometimes called the Hammond-Leffler postulate to give credit to both scientists."	10	19
"postulate"	"postulate_vrb"	"This makes it unnecessary to postulate an /n/-phoneme in Danish."	29	38
"postulate"	"postulate_nou"	"One example is the parallel postulate, which is neither provable nor refutable from the remaining axioms of Euclidean geometry."	28	37
"postulate"	"postulate_vrb"	"Some linguists (like I. G. Dobrodomov and his school) postulate the existence of a phonemic glottal stop /ʔ/."	54	63
"postulate"	"postulate_nou"	"And so, invoking Occam's razor, he removed the postulate of wavefunction collapse from the theory."	47	56
"postulate"	"postulate_vrb"	"Others postulate that sharing is driven by ego in order to build up an online persona for oneself."	7	16
"postulate"	"postulate_vrb"	"The principle of Occam's razor suggests that we postulate only those entities which are necessary to best explain our observations."	48	57
"postulate"	"postulate_vrb"	"Bekenstein was the first physicist to postulate such a theorem."	38	47
"postulate"	"postulate_nou"	"One of the earliest studies on methodology of economics, analysing the postulate of rationality."	71	80
"postulate"	"postulate_vrb"	"Unlike HSM, ELM does not postulate whether central route processing and peripheral route processing can co-occur or not."	25	34
"postulate"	"postulate_nou"	"The parallel postulate is equivalent to the Equidistance postulate, Playfair axiom, Proclus axiom, the Triangle postulate and the Pythagorean theorem."	13	22
"postulate"	"postulate_vrb"	"Sociological theories postulate relationships between sociological concepts."	22	31
"postulate"	"postulate_vrb"	"Those who postulate other reasons for the withdrawal are simply wrong."""	10	19
