"homograph"	"wordid"	"sentence"	"start"	"end"
"attribute"	"attribute_vrb"	"Others scholars attribute the founding of Brescia to the Etruscans."	16	25
"attribute"	"attribute_nou"	"Use the command line command dir /ah to display the files with the attribute of hidden."	67	76
"attribute"	"attribute_vrb"	"Eugene O'Curry was the first to attribute the Beatha to Lughaidh, suggesting that Cucoigriche was merely the scribe."	32	41
"attribute"	"attribute_vrb"	"An author or speaker who fails to attribute secondary sources may also violate geneivat da'at."	34	43
"attribute"	"attribute_nou"	"In application, these patterns are individually assigned to each character attribute to directly affect character growth."	75	84
"attribute"	"attribute_vrb"	"The authors attribute this contradictory finding to the task-dependency of relationships between intellectual performance and these brain regions."	12	21
"attribute"	"attribute_vrb"	"However, Monmohan Chakravarti (1915) and Rajendra Chandra Hazra (1950) both attribute the work to Raghunandana."	76	85
"attribute"	"attribute_vrb"	"Nevertheless, most researchers attribute the derivation of Lezgi to be from the ancient Legi and early medieval Lakzi."	31	40
"attribute"	"attribute_vrb"	"People will attribute responsibility for the event and react emotionally to that event."	12	21
"attribute"	"attribute_nou"	"In ID3, entropy is calculated for each remaining attribute."	49	58
"attribute"	"attribute_nou"	"They are said to be an attribute of Saint Matthew, who is furthermore said to be buried at Trier."	23	32
"attribute"	"attribute_vrb"	"He added that most people attribute this as a toy problem, not a Burger King problem."	26	35
"attribute"	"attribute_nou"	"While some attributes may be uniquely identifying on their own, any attribute can be identifying in combination with others."	68	77
"attribute"	"attribute_nou"	"Attribute comparison may be vulnerable to forgery."	0	9
"attribute"	"attribute_vrb"	"Some paleontologists attribute these extinctions to the arrival of early humans, who over hunted the local large game."	21	30
"attribute"	"attribute_nou"	"Attribute scores also determine the eight combat ability scores."	0	9
"attribute"	"attribute_vrb"	"Eadmer credited Anselm with restraining the pope from excommunicating him, although others attribute Urban's politic nature."	91	100
"attribute"	"attribute_nou"	"In this variant, players are given two cards: the first contains their role, the second an attribute."	91	100
"attribute"	"attribute_vrb"	"Some publications still attribute it to Mozart, often as Piano Sonata No."	24	33
"attribute"	"attribute_nou"	"Lenses with the model name attribute DG are made by Panasonic under licence."	27	36
"attribute"	"attribute_nou"	"The fly-whisk is frequently seen as an attribute of both Hindu, Jainism, Daoist, and Buddhist deities."	39	48
"attribute"	"attribute_vrb"	"One approach is to attribute an economic value to the resource."	19	28
"attribute"	"attribute_vrb"	"Some attribute the origins of the custom to a story recorded about a time when the Maharil was the sandek."	5	14
"attribute"	"attribute_nou"	"The more dice and pips in the rating the better the character is at that skill or attribute."	82	91
"attribute"	"attribute_vrb"	"Textual scholars attribute the description of Gershom to a different source text to the genealogy involving Gershom."	17	26
"attribute"	"attribute_vrb"	"Many attribute the feeling to walking on a walnut."	5	14
"attribute"	"attribute_nou"	"I.E., recent market research shows that, especially for women, reliability has become an automobile's most desired attribute."	115	124
"attribute"	"attribute_nou"	"However, its productivity is an attribute of individual nouns and verbs."	32	41
"attribute"	"attribute_nou"	"Hit distance is based upon striking location, the player's Power attribute, and the Player's Contact attribute."	65	74
"attribute"	"attribute_nou"	"Miniature Cards support Attribute Information Structure (AIS) in the I²C identification EEPROM."	24	33
"attribute"	"attribute_vrb"	"Different legends attribute the discovery that zebu were edible to the king's servant or to Ralambo himself."	18	27
